,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,65.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3644227607397,-34.6666452495883,7986.01211715808,1
1,62.0,59.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3665458435797,-34.6630146556911,7355.33507225559,2
2,32.0,32.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3063777857175,-34.723186942329,6442.00160127489,0
3,26.0,26.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.3971873033876,-34.6680774901744,5079.10370683704,0
4,48.0,44.0,1,1,2,0,30,0,0,0,1,1,0,0,0,-58.3842133797445,-34.6754391096213,7591.90390181707,2
5,50.0,47.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.3492927722769,-34.6758307088969,7355.33507225559,2
6,90.0,48.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3449568036503,-34.6776820416374,7213.2799623326,2
7,85.0,65.0,2,1,3,0,15,0,0,1,0,0,0,0,0,-58.338612118159,-34.690375743452,8372.39202123499,2
8,80.0,78.0,3,1,4,0,44,0,0,0,0,0,0,0,0,-58.3643636350621,-34.6630390996721,11615.587700533,2
9,53.0,41.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3169824617232,-34.703235292792,8408.59785561632,0
10,50.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3212630684468,-34.6977787254148,6724.87778034797,2
11,28.0,28.0,0,1,1,0,40,0,0,0,0,0,0,0,0,-58.3235036541769,-34.7013612221926,3770.63950751511,2
12,38.0,32.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.3191085247586,-34.6996054779075,5324.00807810539,2
13,25.0,24.0,1,1,1,0,0,0,0,0,1,0,0,0,0,-58.3622109381982,-34.6648665814785,4889.05572329801,2
14,57.0,49.0,2,2,3,0,0,0,0,0,0,0,0,0,0,-58.3643340761623,-34.6612360238796,6304.57291907622,1
15,50.0,44.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.3686983960844,-34.6611871001466,6568.30002616963,2
16,50.0,47.0,1,1,2,0,7,0,0,1,1,1,0,0,0,-58.3621519122606,-34.6612604271855,7598.48916990682,2
17,48.0,48.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3647777354884,-34.6882821023463,6719.17028484011,0
18,60.0,60.0,2,1,3,0,40,0,0,0,1,1,0,0,0,-58.3775165392778,-34.666497980366,6180.31381823726,2
19,52.0,52.0,2,1,3,0,35,0,0,0,1,1,0,0,1,-58.3686687453356,-34.6593840270696,9628.25082442023,2
20,65.0,45.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.4014911839829,-34.6644212893578,4081.27380289754,2
21,70.0,70.0,2,1,3,0,30,0,0,0,1,1,0,0,1,-58.3124734645982,-34.694266899186,6969.35262031977,2
22,30.0,30.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.3712074041184,-34.6809963287951,4466.44401779535,2
23,45.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3125588837495,-34.6996762102864,7936.19979968045,0
24,56.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.3147420999545,-34.6996526719254,7213.2799623326,2
25,50.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3147420999545,-34.6996526719254,8212.31923702681,0
26,65.0,65.0,1,1,2,0,40,0,0,0,0,1,0,0,1,-58.3863658452481,-34.6736112472219,9065.8245477848,2
27,50.0,50.0,1,1,2,0,6,0,0,0,0,0,0,0,0,-58.3103472367662,-34.6978966048325,8130.91139037307,2
28,49.0,40.0,1,1,2,0,35,0,0,1,0,0,0,0,0,-58.3643931965878,-34.6648421749084,8695.87986090547,2
29,45.0,45.0,1,1,2,0,55,0,0,0,1,0,0,0,0,-58.3843334172688,-34.6826513324001,5254.6400209357,2
30,45.0,38.0,1,1,2,0,35,0,0,0,0,0,0,0,0,-58.3644227607397,-34.6666452495883,6021.55961613585,2
31,85.0,80.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3125588837495,-34.6996762102864,6887.1495423896,2
32,68.0,62.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3578758359575,-34.6667183570499,11198.6171414002,1
33,70.0,70.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.355605404843,-34.6613334028592,6619.80156503003,2
34,47.0,44.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3535992056882,-34.6721761452227,6632.0699297085,0
35,83.0,79.0,1,1,3,0,25,0,1,1,1,1,1,1,2,-58.3819410032278,-34.6700546996307,7828.02750097661,2
36,55.0,50.0,2,1,3,0,42,0,0,0,0,0,0,0,0,-58.3146850566665,-34.6960464682268,9825.67689310832,2
37,50.0,50.0,2,1,3,0,40,0,0,1,0,0,0,0,0,-58.3843334172688,-34.6826513324001,6094.42048844035,2
38,50.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3343040923449,-34.694029803703,5017.96634677988,1
39,55.0,55.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3102903878447,-34.6942903937359,4986.20350128164,2
40,40.0,40.0,1,1,2,0,32,0,0,0,0,0,0,0,0,-58.3557229002226,-34.6685457287435,4616.52903903749,2
41,70.0,53.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3928226745937,-34.6681274422885,6042.83602407606,0
42,56.0,48.0,2,1,3,0,20,0,0,0,0,0,0,0,0,-58.3686094517396,-34.6557778792462,8195.94479479909,2
43,45.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3984006183939,-34.6103546542401,6304.57291907622,2
44,40.0,40.0,1,1,2,0,4,0,0,0,1,0,0,0,0,-58.3256006263168,-34.6959282057558,6221.45396744455,2
45,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3643340761623,-34.6612360238796,6221.45396744455,1
46,90.0,90.0,2,2,3,0,0,0,0,0,0,0,0,0,0,-58.3643636350621,-34.6630390996721,10035.9326935598,2
47,55.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.3536872284717,-34.6775853853265,6759.60973604905,2
48,70.0,65.0,2,1,3,0,30,0,0,0,0,0,0,0,1,-58.3103472367662,-34.6978966048325,9825.67689310832,2
49,53.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3343040923449,-34.694029803703,7433.97612834109,0
50,40.0,38.0,1,1,2,0,40,0,0,1,0,0,0,0,0,-58.314799153378,-34.7032588734038,5248.27069458746,2
51,26.0,20.0,0,1,1,0,35,0,0,0,0,0,0,0,0,-58.3191943927297,-34.7050147698279,4479.44685656008,2
52,45.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3125588837495,-34.6996762102864,6960.25322788779,0
53,42.0,38.0,1,1,2,0,50,0,0,1,0,1,0,0,0,-58.3471686180492,-34.6794610199307,5807.79385026648,2
54,42.0,42.0,1,1,2,0,8,0,0,0,0,0,0,0,0,-58.3664866339268,-34.659408506819,6798.34520006099,2
55,40.0,40.0,1,1,2,0,50,0,0,0,0,0,0,0,0,-58.3234749393936,-34.6995581274958,4761.47944442057,2
56,70.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3125588837495,-34.6996762102864,9070.0913563379,0
57,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3168396105142,-34.694219792813,4646.23508021318,2
58,45.0,45.0,1,1,2,0,0,0,0,0,1,0,0,0,0,-58.3686983960844,-34.6611871001466,7142.21916663086,2
59,40.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5584681387792,-34.6553019495807,7652.38838043289,1
60,65.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3103472367662,-34.6978966048325,5892.78595606012,2
61,38.0,40.0,1,1,2,0,4,0,0,0,1,0,0,0,0,-58.3535992056882,-34.6721761452227,4956.70010044371,2
