,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
700,1988,78980,59112,2022-08-01,Departamento,65.0,65.0,2,2,3,,0.0,40.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.3939184609082,-34.6031922988251,2022,161.0075388699031,COMUNA 3,10465.4900265437
4071,1991,79123,57138,2022-12-01,Departamento,28.0,28.0,1,1,2,,,62.0,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.3940993079233,-34.6140107134462,2022,260.26612410241,COMUNA 3,7287.45147486748
252,40,1624,56144,2022-04-01,Departamento,39.0,39.0,1,1,2,0.0,No,30.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,San Cristóbal,U,-58.4094569823307,-34.6192444413609,2022,168.36606742726437,COMUNA 3,6566.27662966331
426,993,39406,56479,2021-09-01,Departamento,40.0,36.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.396340603297,-34.6175918983901,2021,173.65303613022917,COMUNA 3,6251.50930068825
139,207,7827,59107,2021-08-01,Departamento,23.0,23.0,0,1,1,0.0,No,45.0,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4048215073465,-34.6030672320077,2021,281.3179185279274,COMUNA 3,6470.31212614233
2546,3090,122698,58121,2022-02-01,Departamento,40.0,40.0,1,1,2,0.0,No,0.0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.4027318801946,-34.6085015130212,2022,165.592889443736,COMUNA 3,6623.71557774944
519,291,10963,57136,2021-09-01,Departamento,35.0,33.0,0,1,1,0.0,No,10.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.3984610999358,-34.6139607835374,2021,211.2980999067124,COMUNA 3,6972.83729692151
201,3273,130297,58780,2022-12-01,Departamento,40.0,40.0,1,1,2,,0.0,60.0,,1.0,,,,,,1.0,,,,,,,,,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.4004905726234,-34.6049204410788,2022,210.214946390408,COMUNA 3,8408.59785561632
167,4512,181163,54828,2022-09-01,Departamento,47.0,45.0,2,1,3,,1.0,55.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,San Cristóbal,U,-58.4095789528561,-34.626456652983,2022,262.7869435462844,COMUNA 3,11825.4124595828
4188,2488,99332,56477,2021-05-01,Departamento,32.0,32.0,1,1,2,0.0,No,45.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,No,Capital Federal,Capital Federal,Balvanera,U,-58.4007025784651,-34.6175418838476,2021,194.88146176539345,COMUNA 3,6236.20677649259
3347,1820,73194,56146,2021-06-01,Departamento,33.0,30.0,0,1,1,0.0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.4050949344542,-34.6192947710713,2021,137.496413881151,COMUNA 3,4124.89241643453
2655,1770,71059,59440,2022-04-01,Departamento,84.0,76.0,2,2,3,0.0,No,35.0,   0,No,   0,No,Sí,No,No,Sí,   0,   0,No,   0,   0,   0,   0,No,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Balvanera,U,-58.396068896668,-34.601364293987,2022,221.8336699210579,COMUNA 3,16859.3589140004
1819,4080,163520,59768,2021-07-01,Departamento,35.0,35.0,1,1,2,0.0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.3982192382318,-34.5995362529803,2021,131.18380080742085,COMUNA 3,4591.43302825973
3879,3779,152268,59763,2022-04-01,Departamento,55.0,55.0,2,1,3,0.0,No,45.0,   0,No,   0,No,No,No,No,No,   0,   0,No,   0,   0,   0,   0,No,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Balvanera,U,-58.4091217867818,-34.5994108134131,2022,177.46693593684637,COMUNA 3,9760.68147652655
1587,2060,81382,56807,2022-08-01,Departamento,42.0,38.0,1,1,1,,,40.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Balvanera,U,-58.3984913447367,-34.6157638473505,2022,132.19566349318396,COMUNA 3,5023.43521274099
3845,2243,88480,56144,2022-04-01,Departamento,80.0,71.0,2,1,3,0.0,No,0.0,   0,Sí,   0,   0,Sí,Sí,   0,Sí,   0,   0,   0,   0,   0,Sí,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Balvanera,U,-58.4094569823307,-34.6192444413609,2022,157.47066146508874,COMUNA 3,11180.4169640213
1469,2712,107627,56472,2021-07-01,Departamento,32.0,29.0,1,1,1,0.0,No,35.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4116074692124,-34.6174161654284,2021,193.5086716891076,COMUNA 3,5611.75147898412
446,3259,129471,55486,2021-07-01,Departamento,46.0,42.0,1,1,2,0.0,0,22.0,0,0,0,Sí,Sí,0,0,Sí,0,0,0,0,0,0,0,0,Sí,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.4095179621757,-34.6228505482869,2021,212.56634390091355,COMUNA 3,8927.78644383837
3044,4873,195940,57458,2022-06-01,Departamento,42.0,42.0,1,1,2,,0,45.0,,1,,0,0,1,0,1,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.4136967151436,-34.6119817487122,2022,190.90050521239047,COMUNA 3,8017.8212189204
2398,1758,70698,57798,2022-04-01,Departamento,185.0,180.0,1,2,2,0.0,Sí,0.0,   0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Balvanera,U,-58.3896774006422,-34.6104543448323,2022,24.64818554678422,COMUNA 3,4436.67339842116
490,324,12241,55163,2021-04-01,Departamento,65.0,60.0,2,1,3,0.0,No,40.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.3964614315476,-34.6248041525321,2021,163.38409858305883,COMUNA 3,9803.04591498353
4157,4973,199723,55494,2021-06-01,Departamento,34.0,34.0,1,1,2,0.0,No,0.0,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.3920689517064,-34.6230509584824,2021,193.18529488734205,COMUNA 3,6568.30002616963
