,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,COMUNA
36,47232,2022-05-01,Departamento,68000.0,68000.0,3,2,4,,0,0,,0,,0,1,0,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Lugano,N,-58.4735665359032,-34.667178045388,9455.89763366182,2022,COMUNA 8
65,46904,2021-07-01,Departamento,0.0,32.0,1,1,1,0,Sí,0 años,0,Sí,0,No,No,Sí,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,8417.62721847617,2021,COMUNA 8
454,43613,2021-09-01,Departamento,105.0,85.0,2,1,3,0,No,15 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.473917944389,-34.6870108894225,10339.0346126767,2021,COMUNA 8
1127,47890,2021-01-01,Departamento,65.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4735026803339,-34.6635720664649,7914.15895209832,2021,COMUNA 8
1171,43945,2021-03-01,Departamento,77.0,77.0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4673379082328,-34.685286928644,11079.6825774624,2021,COMUNA 8
1185,47225,2022-06-01,Departamento,20.0,20.0,0,1,1,,0,,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4888419712125,-34.666992416904,4153.23139140077,2022,COMUNA 8
1288,43618,2022-05-01,Departamento,49.0,49.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4630042342384,-34.6871424066046,5403.37007637818,2022,COMUNA 8
1536,42300,2021-08-01,Departamento,83.0,74.0,3,2,4,0,No,50 años,0,Sí,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.467497029248,-34.6943018645636,8710.03555442237,2021,COMUNA 8
1687,48222,2022-06-01,Departamento,48.0,45.0,1,1,2,,0,20,,,,,1,,,,,,,,,,,,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4669245241888,-34.6618480297473,6093.5441263795,2022,COMUNA 8
1973,45586,2021-05-01,Departamento,85.0,70.0,2,2,3,0,Sí,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4759086743292,-34.67616657284,12201.2741279203,2021,COMUNA 8
2005,44274,2021-07-01,Departamento,50.0,50.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4673060925095,-34.6834839397803,6351.4823557593,2021,COMUNA 8
2016,52840,2021-12-01,Departamento,89.0,89.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4403026219302,-34.6369180416324,3089192.81519326,2021,COMUNA 8
2769,47892,2021-10-01,Departamento,54.0,54.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,0,0.0,Sí,0.0,0.0,0,0.0,No,No,Capital Federal,Capital Federal,Villa Lugano,U,-58.4691384336176,-34.6636247447455,8130.91139037307,2021,COMUNA 8
3261,47225,2022-01-01,Departamento,20.0,20.0,0,1,1,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4888419712125,-34.666992416904,5442.94795346914,2022,COMUNA 8
3421,43941,2021-08-01,Departamento,150.0,120.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4760686702136,-34.685181487516,11945.1916174935,2021,COMUNA 8
3632,44272,2022-10-01,Departamento,60.0,56.0,2,1,3,,0.0,40.0,,,,,,,,,,,,,,,,,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4716713845994,-34.6834313008738,7169.16402915522,2022,COMUNA 8
3764,47225,2022-09-01,Departamento,20.0,20.0,0,1,1,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4888419712125,-34.666992416904,5242.59952374836,2022,COMUNA 8
4073,45913,2022-06-01,Departamento,68.0,57.0,2,0,3,,0,,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4802414803463,-34.6743106544852,9621.38546270448,2022,COMUNA 8
