,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,42.0,37.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.4765884116743,-34.5913993245746,7914.15895209832,0
1,36.0,36.0,1,1,2,1,48,0,0,0,0,0,0,0,0,-58.4418601896523,-34.6008316868129,14426.5599246652,2
2,55.0,55.0,2,1,3,0,30,0,0,0,1,1,0,0,0,-58.448213907164,-34.5899360148642,10427.1568494371,2
3,84.0,67.0,2,2,3,0,0,0,1,0,0,0,0,0,0,-58.4265348907449,-34.5974050379316,24053.4636567612,0
4,44.0,41.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.4353496768842,-34.6027118640993,9496.99074251798,1
5,77.0,70.0,2,2,3,0,12,0,0,0,1,1,1,0,0,-58.448213907164,-34.5899360148642,14029.3786974603,2
6,55.0,55.0,2,1,3,0,50,0,0,1,1,1,0,0,0,-58.443947068769,-34.5953967967418,10090.3174267396,2
7,36.0,35.0,1,1,2,0,50,0,0,0,0,0,0,0,0,-58.4550375535722,-34.606085426766,7842.43673198683,2
8,94.0,89.0,3,2,4,0,1,0,0,1,1,0,0,0,1,-58.4654339584824,-34.5771066063141,37622.9904210151,2
9,31.0,31.0,1,1,1,1,50,0,0,0,1,1,0,0,0,-58.4353496768842,-34.6027118640993,6331.32716167866,2
10,45.0,42.0,1,1,2,0,3,0,0,1,1,1,0,0,0,-58.4417355455422,-34.5936195462887,11819.8720420773,2
11,40.0,40.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.4528255095717,-34.6043083934581,8958.45946222141,2
12,58.0,54.0,2,1,3,0,6,0,0,0,0,0,0,0,0,-58.483257296185,-34.5985320025432,14029.3786974603,0
13,36.0,38.0,0,1,2,0,40,0,0,0,0,0,0,0,0,-58.444009484993,-34.5990028635518,8415.49328938803,2
14,36.0,32.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.4502374676308,-34.5808949585171,6566.27662966331,2
15,88.0,75.0,3,2,4,0,38,0,0,0,0,0,0,0,0,-58.4418601896523,-34.6008316868129,16744.78404247,2
16,42.0,38.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.4417667024175,-34.5954225822573,8827.84665240505,1
17,37.0,37.0,1,1,2,0,42,0,0,0,0,0,0,0,0,-58.4286844463256,-34.5955764775864,7541.27901503021,2
18,32.0,32.0,1,1,1,0,35,0,0,0,0,0,0,0,0,-58.4460961813168,-34.5935679397715,7092.45752288679,2
19,60.0,56.0,0,1,1,0,0,0,0,0,0,0,0,0,1,-58.439648561183,-34.5990544025409,9489.87987727133,2
20,26.0,26.0,0,1,1,0,50,0,0,0,0,0,0,0,0,-58.4481826173948,-34.5881329824056,5162.97507976157,2
21,40.0,40.0,0,1,1,0,2,0,0,0,1,0,0,0,0,-58.4331071547461,-34.5991314189272,7932.5964793117,2
22,42.0,42.0,1,1,2,0,30,0,0,1,0,0,0,0,0,-58.4484643254117,-34.6043602544252,8652.43934553216,2
23,61.0,47.0,2,1,3,0,4,0,0,0,0,0,0,0,0,-58.443947068769,-34.5953967967418,16998.4210270965,2
24,55.0,55.0,1,2,2,0,0,0,0,0,0,0,0,0,0,-58.4353496768842,-34.6027118640993,7881.96003140356,0
25,35.0,35.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4353496768842,-34.6027118640993,8545.16702481672,1
26,38.0,35.0,1,1,2,0,15,0,0,1,0,0,0,0,0,-58.4504881511739,-34.5953192065518,7429.63385502,2
27,40.0,40.0,1,1,2,0,45,0,0,1,0,0,0,0,0,-58.4418913576011,-34.602634720548,8034.40796370844,2
28,50.0,45.0,1,1,2,0,4,0,1,0,1,0,0,0,1,-58.4288079713594,-34.6027886570847,11662.8237657499,2
29,116.0,96.0,3,2,4,0,0,0,1,0,0,0,0,0,0,-58.4265348907449,-34.5974050379316,34441.9229363078,0
30,50.0,44.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.4396174458584,-34.5972513659655,17916.9189244428,0
31,45.0,42.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.4417667024175,-34.5954225822573,10346.3223657791,2
32,54.0,30.0,1,1,2,0,6,0,0,0,0,0,0,0,0,-58.4331071547461,-34.5991314189272,10819.9199434989,2
33,40.0,40.0,1,1,2,0,35,0,0,1,0,0,0,0,0,-58.4439782754948,-34.597199830426,7652.38838043289,2
34,22.0,22.0,0,1,1,0,50,0,0,0,0,0,0,0,0,-58.4546916900797,-34.5862521515996,4890.98875473196,2
35,30.0,30.0,1,1,1,0,40,0,0,0,0,0,0,0,0,-58.4352255867712,-34.5954997051579,5723.73765004899,2
36,36.0,36.0,1,1,2,0,30,0,0,0,1,0,0,0,0,-58.4418290244723,-34.5990286525194,10509.2800418714,2
37,110.0,100.0,3,1,4,0,50,0,0,0,0,0,0,0,0,-58.4418601896523,-34.6008316868129,12026.7318283806,2
38,50.0,45.0,1,1,2,0,8,0,0,0,0,1,0,0,0,-58.4918177094814,-34.5894106751732,8947.60102714154,2
39,107.0,82.0,3,1,4,0,50,0,0,0,0,0,0,0,0,-58.4353186502219,-34.6009088252012,20930.9800530875,2
40,35.0,35.0,0,1,1,0,10,0,0,1,0,0,0,0,0,-58.4374680951295,-34.5990801136161,8105.05511456727,2
41,48.0,48.0,2,1,3,0,65,0,0,0,0,0,0,0,0,-58.4441031301246,-34.6044119595786,9070.0913563379,2
42,48.0,41.0,1,1,2,0,42,0,0,0,0,0,0,0,0,-58.4417355455422,-34.5936195462887,8442.76574434091,2
43,41.0,41.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.4440719123076,-34.6026089281281,8250.28153306538,2
44,55.0,35.0,2,1,3,0,50,0,0,0,0,0,0,0,0,-58.4483390940414,-34.5971481391133,10262.3736439131,2
45,39.0,39.0,0,1,1,0,6,0,0,1,0,1,0,0,1,-58.4417355455422,-34.5936195462887,8406.09722543496,2
46,38.0,38.0,1,1,2,0,0,0,0,0,1,1,0,0,0,-58.4331381315605,-34.6009344600992,8028.7461548478,2
47,53.0,50.0,1,1,2,0,32,0,0,0,0,1,0,0,0,-58.430957610147,-34.6009600560478,10917.4187701204,2
48,30.0,30.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.4353496768842,-34.6027118640993,7914.15895209832,2
49,34.0,34.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.4896375462901,-34.5894373119968,6778.48562662238,1
50,91.0,76.0,3,1,3,0,45,0,0,0,0,0,0,0,0,-58.4418601896523,-34.6008316868129,14192.6444011565,2
51,57.0,50.0,2,1,3,0,51,0,0,1,1,0,0,0,0,-58.4418601896523,-34.6008316868129,10509.2800418714,2
52,37.0,33.0,0,1,1,0,4,0,1,0,0,1,0,0,0,-58.4550060974686,-34.6042824045449,9489.87987727133,2
53,47.0,44.0,1,1,1,1,9,0,1,1,0,1,0,0,0,-58.4524488191155,-34.5826720623519,17927.3844154694,2
54,44.0,40.0,1,1,2,0,30,0,0,1,0,1,0,0,0,-58.4417667024175,-34.5954225822573,10131.3188932091,2
55,36.0,30.0,0,1,1,0,2,0,0,0,0,0,0,0,0,-58.4741534018081,-34.5770015875904,8130.91139037307,2
56,40.0,40.0,2,1,3,0,8,0,0,0,0,0,0,0,0,-58.4787366875286,-34.5895699121699,8281.62051643793,2
57,44.0,37.0,1,1,2,0,5,0,0,1,0,0,0,0,1,-58.443947068769,-34.5953967967418,10339.0346126767,2
58,37.0,37.0,1,1,2,0,42,0,0,0,0,0,0,0,0,-58.4286844463256,-34.5955764775864,7910.80168734369,2
59,41.0,36.0,0,1,1,0,0,0,1,0,0,0,0,0,0,-58.445908733418,-34.5827497329593,9292.23784867236,0
60,38.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.448245199713,-34.5917390467643,7320.76447675217,2
61,42.0,40.0,1,1,1,0,3,0,1,1,0,1,0,0,0,-58.4550060974686,-34.6042824045449,7998.61303941441,2
62,33.0,30.0,0,1,1,0,4,0,0,0,0,1,0,0,0,-58.443947068769,-34.5953967967418,6376.9903170274,2
63,47.0,43.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.4374991661272,-34.6008831513541,11198.6171414002,2
64,42.0,42.0,1,1,2,0,51,0,0,1,0,0,0,0,0,-58.4417355455422,-34.5936195462887,7289.26485359369,2
65,34.0,30.0,0,1,1,0,2,0,0,0,0,0,0,0,0,-58.4721961381781,-34.589649005112,7883.60830638851,2
66,41.0,36.0,1,1,1,0,5,0,0,1,0,0,0,0,0,-58.4809168649743,-34.5895434699951,9704.99775073986,2
67,67.0,63.0,2,1,3,0,27,0,0,0,1,0,0,0,0,-58.4417667024175,-34.5954225822573,14682.6313631691,2
68,55.0,45.0,1,1,2,0,7,0,0,0,0,0,0,0,0,-58.4461586861564,-34.5971740042412,9437.94566920056,2
69,44.0,42.0,1,1,2,0,3,0,0,0,0,1,0,0,0,-58.4764927068873,-34.5859902954155,11558.3836849731,2
70,35.0,35.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.4418913576011,-34.602634720548,9621.38546270448,2
71,50.0,32.0,1,1,1,0,4,0,0,0,0,0,0,0,0,-58.4374991661272,-34.6008831513541,8927.78644383837,2
72,45.0,41.0,1,1,2,0,0,0,0,0,1,1,0,0,0,-58.43089575345,-34.5973539697196,9983.81603977784,2
73,30.0,27.0,0,1,1,0,2,0,1,0,0,1,0,0,0,-58.448213907164,-34.5899360148642,9803.04591498353,2
74,20.0,20.0,0,1,1,0,38,0,0,0,0,1,0,0,0,-58.4418290244723,-34.5990286525194,4623.35347398923,2
75,44.0,37.0,1,1,2,0,5,0,0,1,0,0,0,0,1,-58.443947068769,-34.5953967967418,10968.4233452871,2
76,47.0,41.0,2,1,3,0,43,0,0,1,0,1,0,0,0,-58.4550375535722,-34.606085426766,6976.99335102915,2
77,47.0,45.0,1,1,2,0,4,0,0,0,0,0,0,0,0,-58.4481826173948,-34.5881329824056,11149.2353749446,2
78,20.0,16.0,0,1,1,0,5,0,0,1,1,0,0,0,0,-58.439679679272,-34.6008574385579,6251.50930068825,2
79,35.0,35.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.4571866825711,-34.6042563766788,7900.82798841317,2
80,55.0,55.0,2,1,3,0,30,0,0,0,0,0,0,0,0,-58.4567773954739,-34.5808170595937,11198.0743277768,2
81,42.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.428838859477,-34.6045917005644,6719.17028484011,1
82,51.0,47.0,2,1,3,0,62,0,0,0,0,0,0,0,0,-58.4571866825711,-34.6042563766788,12360.6276364745,2
83,50.0,47.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.4437910767186,-34.5863816199446,8540.57566525422,2
84,42.0,35.0,1,1,1,0,0,0,0,0,0,1,0,0,0,-58.4351945711323,-34.5936966640272,14432.0781940567,0
85,100.0,90.0,3,2,5,0,35,0,0,1,1,0,0,0,0,-58.4439158648155,-34.5935937624991,14450.2600575732,2
86,37.0,37.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.4309266804247,-34.5991570131627,6504.53012336795,2
87,100.0,95.0,3,2,4,0,35,0,0,0,0,0,0,0,0,-58.450707645469,-34.607940394254,18584.9403208527,2
88,57.0,51.0,1,1,2,0,2,0,1,1,1,1,0,1,1,-58.4396174458584,-34.5972513659655,14682.6313631691,2
89,38.0,35.0,1,1,1,0,5,0,0,0,0,0,0,0,0,-58.439679679272,-34.6008574385579,7986.01211715808,2
90,43.0,39.0,0,1,1,0,11,0,0,0,0,1,0,0,0,-58.4331071547461,-34.5991314189272,9182.86605651946,2
91,57.0,57.0,2,1,3,0,45,0,0,0,0,0,0,0,0,-58.4395863332978,-34.5954483288319,9270.47072735589,2
92,35.0,35.0,0,1,1,0,0,0,0,0,0,1,0,0,0,-58.4615162497747,-34.6024011865421,9190.93379956807,0
93,70.0,70.0,3,2,4,0,30,0,0,0,0,1,0,0,0,-58.430957610147,-34.6009600560478,15429.2058392625,2
