,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
15508,14935,151533,61077,2021-03-01,Departamento,34.0,32.0,1,1,2,0.0,No,0.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Botánico,N,-58.4133606025197,-34.5921481333869,2021,182.2316213398421,Desconocido,5831.41188287495
3346,18087,182726,57795,2021-07-01,Departamento,82.0,73.0,3,2,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Congreso,S,-58.396219817975,-34.6103796353359,2021,192.1832698282233,Desconocido,14029.3786974603
623,18784,189526,59408,2021-12-01,Departamento,30.0,30.0,1,1,1,0.0,No,45.0,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Paternal,U,-58.4658456201782,-34.6005458470407,2021,203.79181704224663,Desconocido,6113.7545112674
16914,1739,17267,66327,2022-05-01,Departamento,120.0,113.0,3,2,4,,0,40.0,,0,,0,1,0,0,1,,,0,,,,,0,0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Belgrano Barrancas,U,-58.4433858215203,-34.5629420949512,2022,239.0871715211584,Desconocido,27016.8503818909
3012,9877,99593,60094,2021-11-01,Departamento,27.0,27.0,1,1,1,0.0,No,50.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.4047304135479,-34.5976580422902,2021,209.8570497172408,Desconocido,5666.1403423655
5408,18145,183223,63702,2021-11-01,Departamento,39.0,32.0,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Palermo Hollywood,S,-58.4283758257143,-34.5775459897893,2021,226.64561369462,Desconocido,7252.65963822784
16021,14316,145173,57473,2021-10-01,Departamento,60.0,60.0,0,1,3,0.0,No,60.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Monserrat,U,-58.3809840026317,-34.6123564902048,2021,181.97754064168333,Desconocido,10918.652438501
7025,5417,54279,64041,2021-02-01,Departamento,66.0,58.0,2,1,3,0.0,No,45.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Palermo Chico,U,-58.4065461762021,-34.5759961282776,2021,168.5881283895864,Desconocido,9778.11144659601
11478,1369,13860,57796,2022-10-01,Departamento,190.0,160.0,3,3,4,,,32.0,,,,,1.0,,,,,,,,,,,,,1,,,,,,0.0,,,Capital Federal,Capital Federal,Congreso,U,-58.3940390148739,-34.6104045774667,2022,150.64514931953312,Desconocido,24103.2238911253
7305,9860,99444,56812,2021-03-01,Departamento,38.0,38.0,1,1,2,0.0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Congreso,U,-58.3875866089796,-34.6158883881778,2021,153.45820744407763,Desconocido,5831.41188287495
