,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,49.0,43.0,1,1,2,0,7,0,0,0,0,0,0,0,0,-58.5531631726811,-34.6048755309602,7433.97612834109,2
1,67.0,60.0,1,1,2,0,8,0,0,0,0,0,0,0,1,-58.5619526998383,-34.6083700334512,8653.28779683347,2
2,54.0,44.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.5687997793167,-34.6245124088819,6584.02332367764,2
3,50.0,50.0,1,1,2,0,2,0,0,0,0,0,0,0,0,-58.559974511657,-34.6192155318926,5146.54114216854,2
4,40.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5596709533648,-34.6029891311511,7289.26485359369,0
5,35.0,35.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.5597383897914,-34.6065950019207,6951.10756064283,2
6,43.0,45.0,1,1,2,0,8,0,0,0,1,0,0,1,0,-58.5641332841788,-34.6083420914884,7735.91002716702,2
7,55.0,55.0,0,1,1,0,10,0,0,0,0,0,0,0,0,-58.5618513994231,-34.6029612337421,4067.09137597343,2
8,91.0,60.0,2,1,3,0,13,0,0,1,0,0,0,0,1,-58.5598058382001,-34.61020087044,10648.0161562108,2
9,42.0,42.0,1,1,2,0,20,0,0,0,1,0,0,0,0,-58.5706410609638,-34.6064551067084,5612.47485324428,2
10,24.0,20.0,0,1,1,0,7,0,0,0,0,0,0,0,0,-58.5596372396441,-34.6011861949225,4081.27380289754,2
11,75.0,72.0,2,1,3,0,44,0,0,0,0,0,0,0,0,-58.5640994672762,-34.6065391606845,7752.21483461537,2
12,28.0,26.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.5616826253779,-34.5939465563082,4591.43302825973,0
13,35.0,32.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5619864726429,-34.6101729655623,6799.3684108386,1
14,30.0,28.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.5639642297018,-34.5993274318418,7674.69268613207,2
15,30.0,26.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.5597721124979,-34.6083979364616,5723.73765004899,2
16,35.0,35.0,0,1,1,0,15,0,0,0,1,0,0,0,0,-58.5596709533648,-34.6029891311511,5530.18130445499,2
17,38.0,38.0,1,1,2,0,3,0,0,0,0,0,0,0,0,-58.5644716184756,-34.6263713685743,6734.96982389314,2
18,46.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5596709533648,-34.6029891311511,6922.89026951764,1
19,58.0,58.0,1,1,2,0,15,0,0,0,0,0,0,0,1,-58.5662800015148,-34.6065111816419,11860.8886967496,2
20,28.0,26.0,0,1,1,0,0,0,0,1,0,0,0,0,0,-58.5619526998383,-34.6083700334512,5255.73887092567,0
21,56.0,50.0,2,1,3,0,9,0,0,0,0,0,0,0,0,-58.5684266246599,-34.6046802360305,6923.06791035955,2
22,37.0,35.0,1,1,2,0,2,0,0,0,0,0,0,0,0,-58.5640656533774,-34.6047362293179,6021.55961613585,2
23,38.0,38.0,1,1,2,0,9,0,0,0,0,0,0,0,0,-58.5661784275612,-34.6011023914707,5989.34427312241,2
24,75.0,72.0,2,1,3,0,44,0,0,0,0,0,0,0,0,-58.5640994672762,-34.6065391606845,9621.38546270448,2
25,44.0,38.0,1,1,2,0,0,0,0,0,1,1,0,0,0,-58.5618513994231,-34.6029612337421,7025.15288549183,2
26,28.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5618513994231,-34.6029612337421,4277.92375788575,2
27,32.0,32.0,0,1,1,0,0,0,0,0,0,0,0,0,1,-58.5510832705102,-34.610312100397,4748.49537125899,2
28,26.0,26.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5597383897914,-34.6065950019207,4230.58869786229,2
29,41.0,37.0,1,1,2,0,10,0,0,1,0,0,0,0,0,-58.5640656533774,-34.6047362293179,7213.2799623326,2
30,45.0,42.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.5575578465537,-34.6066228641138,6716.45162276128,2
31,52.0,50.0,2,1,3,0,0,0,0,0,0,1,0,0,1,-58.5837584075553,-34.6080888609933,7775.63993352734,2
32,30.0,30.0,0,2,2,0,0,0,0,0,0,0,0,0,0,-58.5618176386168,-34.6011582993805,5884.26805780447,0
33,40.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5618176386168,-34.6011582993805,6724.87778034797,1
34,35.0,35.0,0,1,1,0,7,0,0,0,0,0,0,0,0,-58.5619864726429,-34.6101729655623,4890.98875473196,2
35,45.0,41.0,1,1,2,0,9,0,0,0,0,0,0,0,0,-58.5597383897914,-34.6065950019207,7185.19476421972,2
36,40.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5597721124979,-34.6083979364616,5685.88871277828,0
37,26.0,26.0,0,1,1,0,10,0,0,0,0,0,0,0,0,-58.5597383897914,-34.6065950019207,4087.52531198847,2
38,30.0,30.0,1,1,1,0,2,0,0,0,0,0,0,0,0,-58.5726855952018,-34.5992153119935,4366.96750804814,2
39,104.0,100.0,3,2,4,0,20,0,0,0,0,0,0,0,0,-58.5597046700805,-34.6047920668171,15744.8120837624,2
40,35.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5684944438432,-34.6082860907062,5181.60998363415,2
41,32.0,32.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.5640994672762,-34.6065391606845,6414.25697513632,2
42,26.0,26.0,0,1,1,0,30,0,0,0,0,0,0,0,0,-58.5684605327454,-34.6064831636498,3582.59571462519,2
43,25.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5600082553394,-34.6210184624952,5666.1403423655,2
44,37.0,35.0,1,1,2,0,8,0,0,0,0,0,0,0,0,-58.5644716184756,-34.6263713685743,6422.99692387824,2
45,45.0,42.0,1,1,2,0,5,0,0,1,1,0,0,0,0,-58.5706750191587,-34.6082580318872,7524.59808420301,2
46,28.0,25.0,0,1,1,0,2,0,0,0,0,1,0,0,0,-58.5619526998383,-34.6083700334512,5807.79385026648,2
47,72.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5685622750764,-34.6118919431304,8407.42403349713,1
48,39.0,36.0,1,1,2,0,4,0,0,0,0,0,0,0,0,-58.5641332841788,-34.6083420914884,6004.5803235662,2
49,35.0,35.0,0,1,1,1,0,0,0,0,0,1,0,0,0,-58.5706071057853,-34.6046521809666,12915.3108295505,0
50,48.0,46.0,1,1,2,0,42,0,0,0,0,0,0,0,0,-58.5618851632287,-34.6047641675411,6279.29401592624,2
51,34.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5684944438432,-34.6082860907062,3798.79629700719,1
52,41.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5616826253779,-34.5939465563082,6594.74120549122,0
