,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
99,13340,6092,2021-04-01,Departamento,55.0,55.0,1,1,2,0.0,Sí,0,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,Sí,1,0.0,No,0.0,0.0,0.0,0.0,No,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5104020803618,-34.8921438070133,2021,15404.7864378313
1387,211831,7739,2022-10-01,Departamento,60.0,50.0,1,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,S,-58.5058613504987,-34.8831836303954,2022,9888.50210917961
461,67811,6751,2022-05-01,Departamento,52.0,52.0,1,1,2,,0,,,0,0,0,0,1,1,1,0,1,0,,0,,0,1,1,1,,1,,,,1.0,0,,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5081480630058,-34.8885651921509,2022,11819.8720420773
1262,191809,6749,2021-08-01,Departamento,38.0,31.0,0,1,1,0.0,No,0 años,0,Sí,0,No,No,No,Sí,Sí,0,0,No,0,0,0,0,Sí,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,N,-58.5125240918949,-34.8885108127209,2021,7465.74476093346
1217,183189,4757,2022-01-01,Departamento,16.0,16.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Tristán Suárez,S,-58.5521113048171,-34.8988314512709,2022,3152.28645953811
885,137409,12343,2022-08-01,Departamento,110.0,87.0,2,2,3,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,1.0,,,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,N,-58.5097755397029,-34.8578887595843,2022,13953.9867020583
1246,187989,6751,2022-10-01,Departamento,75.0,75.0,2,2,0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,N,-58.5081480630058,-34.8885651921509,2022,18540.9414547118
242,34379,12343,2022-10-01,Departamento,40.0,40.0,1,1,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,,N,-58.5097755397029,-34.8578887595843,2022,8034.40796370844
782,120392,6422,2022-04-01,Departamento,54.0,45.0,1,2,2,0.0,Sí,0 años,   0,Sí,   0,No,No,No,No,Sí,   0,   0,No,   0,   0,   0,   0,No,Sí,1,0.0,   0,0.0,0.0,0.0,0.0,   0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,N,-58.5081810145018,-34.890368086692,2022,15084.6895546319
805,125432,7080,2022-01-01,Departamento,51.0,41.0,1,1,2,0.0,No,2 años,0,No,0,Sí,No,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5081151144361,-34.8867622970468,2022,13029.4506994242
1651,255548,6422,2022-08-01,Departamento,54.0,45.0,1,2,2,,1.0,0.0,,1.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,1.0,1,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,N,-58.5081810145018,-34.890368086692,2022,14651.6860371612
1426,217208,6749,2021-09-01,Departamento,42.0,42.0,1,1,2,0.0,No,1 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5125240918949,-34.8885108127209,2021,10819.9199434989
813,127191,13326,2022-11-01,Departamento,60.0,55.0,2,1,3,,0.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5184249258099,-34.8523711209347,2022,5302.46180744312
699,108245,6751,2022-01-01,Departamento,55.0,55.0,1,2,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5081480630058,-34.8885651921509,2022,12609.1458381524
1381,210602,8725,2022-06-01,Departamento,86.0,86.0,2,2,3,,0,8,,1,,1,0,0,0,0,,,0,,,,,0,0,1,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5079504154735,-34.8777478130829,2022,25657.0279005453
1247,188151,12338,2022-05-01,Departamento,97.0,97.0,2,1,3,,0,,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,1,,0,,,,1.0,0,,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5207115187754,-34.8577524735721,2022,10975.5954676432
1527,234201,9708,2021-08-01,Departamento,65.0,65.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5166019585919,-34.8722302649839,2021,6221.45396744455
432,64210,12017,2021-08-01,Departamento,40.0,0.0,0,1,1,0.0,No,2 años,0,Sí,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5032467235141,-34.8597729671036,2021,8710.03555442237
511,75902,16618,2022-08-01,Departamento,50.0,35.0,1,1,2,,,0.0,,1.0,,,,,,,,,,,,,,,,1,,,,,,,,,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,N,-58.5137206240345,-34.834396629194,2022,6976.99335102915
446,65937,12344,2021-08-01,Departamento,85.0,65.0,2,1,3,0.0,No,6 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,2,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5075883350928,-34.8579158988347,2021,28449.7663485834
1744,269344,12665,2022-05-01,Departamento,45.0,45.0,1,1,2,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,N,-58.525052609465,-34.8558947938316,2022,7598.48916990682
1077,165705,12014,2022-07-01,Departamento,130.0,100.0,2,3,3,,,5,,1,,,,,,1,,,,,,,,,1,1,,,,,,1.0,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5098084891757,-34.8596916618831,2022,22396.1486555535
13,1638,12667,2022-06-01,Departamento,35.0,35.0,0,1,1,,0,5,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5206783338055,-34.8559495798004,2022,7697.10837016359
16,1961,12998,2021-11-01,Departamento,60.0,55.0,2,1,3,0.0,No,30 años,No,Sí,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5162709596948,-34.8542013105343,2021,6799.3684108386
148,19794,12995,2021-04-01,Departamento,35.0,35.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,S,-58.5228322434086,-34.8541193139638,2021,5041.56647056296
1195,180916,10699,2022-05-01,Departamento,70.0,70.0,2,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5077528732339,-34.8669304137525,2022,13508.4251909455
1349,205350,8379,2022-10-01,Departamento,80.0,80.0,2,1,4,,0.0,4.0,,1.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,1.0,2,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5451751599596,-34.8790836230309,2022,5619791.8828906
1724,266508,11015,2022-12-01,Departamento,60.0,55.0,2,1,3,,0.0,40.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,,U,-58.5361558703471,-34.8647715399649,2022,5045.15871336979
830,128855,12667,2021-04-01,Departamento,54.0,50.0,1,1,2,0.0,No,2 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5206783338055,-34.8559495798004,2021,7002.17565355967
212,28206,3458,2022-07-01,Departamento,45.0,45.0,1,1,2,,1,0,,1,,0,0,0,0,1,,,0,,,,,0,0,0,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,,N,-58.5150431820408,-34.9065124296057,2022,37766.3055328791
176,23040,13330,2021-08-01,Departamento,0.0,60.0,2,1,3,0.0,No,7 años,0,Sí,0,No,No,Sí,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5096767088405,-34.8524800493114,2021,11198.6171414002
