,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,54.0,50.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.5565825540994,-34.5543374637354,6793.4984255179,2
1,42.0,42.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5735407136107,-34.5288727226007,5267.21865894211,1
2,40.0,36.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5521906947203,-34.5525900064288,15124.6994116889,1
3,47.0,45.0,1,1,2,0,1,0,0,0,0,1,0,0,1,-58.5415278214148,-34.5653488179365,7002.17565355967,2
4,55.0,55.0,2,1,3,0,12,0,0,0,0,0,0,0,0,-58.55209023647,-34.5471811320878,8861.41349847763,2
5,53.0,53.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.552157205662,-34.550787048877,10845.5770025958,1
6,48.0,46.0,1,1,2,0,0,0,0,0,1,0,0,0,0,-58.6024830044268,-34.5609569779423,5248.27069458746,0
7,45.0,40.0,1,1,2,0,7,0,0,0,0,0,0,0,1,-58.5521237195786,-34.5489840907633,8408.59785561632,2
8,62.0,62.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5417275328591,-34.576166583345,8130.91139037307,1
9,43.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.548300252719,-34.5778867455313,6504.72911229846,2
10,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5700981398999,-34.5776082272957,4014.3730774239,0
11,52.0,45.0,1,1,2,0,25,0,0,0,0,0,0,0,0,-58.5414945465221,-34.5635458550695,6964.45987784652,2
12,55.0,50.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.5351550715014,-34.5744460593708,8276.05803297373,0
13,45.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.55209023647,-34.5471811320878,9032.33942420378,1
14,60.0,60.0,2,1,3,0,50,0,0,0,0,0,0,0,0,-58.53733479736,-34.5744186197679,9767.79069144082,2
15,65.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5458534134338,-34.5634907256832,11558.3836849731,1
16,60.0,60.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5330415547001,-34.5780793932098,8130.91139037307,0
17,63.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.5373679959425,-34.5762215829474,11034.744043965,0
18,52.0,52.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.5542692337626,-34.5471534091113,7465.74476093346,2
19,50.0,50.0,2,1,3,0,40,0,0,0,0,0,0,0,1,-58.5565153851214,-34.5507315566269,10927.9263930655,2
20,61.0,56.0,2,1,3,0,20,0,0,0,0,0,0,0,0,-58.5543027638325,-34.54895636593,12201.2741279203,2
21,34.0,34.0,0,1,1,0,15,0,0,0,0,1,0,0,1,-58.5586608433995,-34.5489007996623,6722.45161953476,2
22,90.0,60.0,2,1,3,0,40,0,0,0,1,0,0,0,0,-58.5780678187071,-34.5378312018045,6569.67358865709,2
23,70.0,70.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5740838363652,-34.5577197849469,7944.71555035926,0
24,35.0,35.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.5329422411081,-34.5726704926563,4203.04861271748,2
25,38.0,38.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.5438406205274,-34.5725331093166,7213.2799623326,2
26,40.0,40.0,1,1,2,0,7,0,0,0,0,0,0,0,0,-58.5439406395034,-34.5779419822737,7666.28788235175,2
27,40.0,40.0,1,1,2,0,6,0,0,0,0,0,0,0,0,-58.5694544226174,-34.5433523708978,6969.35262031977,2
28,38.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5394480379127,-34.570785216896,5643.44856315226,2
29,65.0,60.0,2,1,3,0,3,0,0,0,0,0,0,0,0,-58.5438406205274,-34.5725331093166,10246.5480408246,2
30,36.0,36.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5479994295218,-34.5616601447696,5780.10402302928,2
31,66.0,60.0,2,1,3,1,5,0,0,0,1,0,0,0,0,-58.5586608433995,-34.5489007996623,10946.6378202548,2
32,36.0,32.0,1,1,2,0,12,0,0,1,0,0,0,0,0,-58.5519898049896,-34.5417722526906,6754.21259547273,2
33,140.0,70.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.547899208559,-34.5562512677365,10032.1587274011,2
34,50.0,50.0,2,1,3,0,10,0,0,0,0,0,0,0,0,-58.552157205662,-34.550787048877,9195.62003663748,2
35,38.0,38.0,1,1,2,0,15,0,0,0,0,0,0,0,0,-58.5543698329092,-34.5525622778816,6180.31381823726,2
36,45.0,42.0,1,1,2,0,7,0,0,0,0,0,0,0,0,-58.5499781114678,-34.5508147366974,7098.67743747385,2
37,71.0,63.0,2,2,3,0,7,0,0,0,0,0,0,0,1,-58.5542357066713,-34.5453504517307,12662.6543233573,2
38,44.0,44.0,1,1,2,0,6,0,0,0,0,0,0,0,0,-58.54994467235,-34.5490117767295,8134.18275194686,2
39,55.0,55.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5435740335394,-34.5581094233834,6887.1495423896,1
40,55.0,55.0,2,1,3,0,12,0,0,0,0,0,0,0,0,-58.55209023647,-34.5471811320878,8455.54723016868,2
41,35.0,35.0,0,1,1,0,10,0,0,0,0,0,0,0,0,-58.5373679959425,-34.5762215829474,5933.1877020011,2
42,50.0,50.0,2,2,3,0,25,0,0,0,0,0,0,0,0,-58.5432743495584,-34.5418827337474,7932.5964793117,2
43,58.0,58.0,1,1,3,0,30,0,0,0,0,0,0,0,0,-58.552157205662,-34.550787048877,6772.13827578271,2
44,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5693867260872,-34.5397464794645,5079.10370683704,2
45,43.0,40.0,1,1,2,0,8,0,0,0,0,0,0,0,1,-58.54994467235,-34.5490117767295,8105.05511456727,2
46,60.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.539680777848,-34.5834059423426,7205.49638827943,2
47,150.0,100.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5757871535438,-34.5324505167163,8733.93501609628,2
48,46.0,46.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.5480328424454,-34.5634631026571,5562.28243641353,2
49,44.0,44.0,1,1,2,0,2,0,0,0,0,0,0,0,0,-58.5394148011636,-34.5689822538716,7397.30876775179,2
50,39.0,39.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5498778030259,-34.5454058551084,6331.32716167866,0
