,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,128.0,73.0,2,2,3,0,10,0,0,0,0,0,0,0,0,-58.5625272457237,-34.6390198028051,14432.0781940567,2
1,70.0,70.0,2,2,3,0,0,0,0,0,0,0,0,0,0,-58.5715589918479,-34.655133888885,11039.5259629157,0
2,40.0,33.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5690713936308,-34.6389357645296,6211.34275778962,1
3,36.0,36.0,1,1,2,0,25,0,0,0,0,0,0,0,0,-58.5669578533995,-34.6425696533181,7883.60830638851,2
4,47.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5779676825146,-34.6478377088641,4890.98875473196,2
5,35.0,35.0,1,1,2,0,25,0,0,0,0,0,0,0,0,-58.5626287262692,-34.6444285687466,5517.37202198249,2
6,65.0,65.0,2,1,3,1,15,0,0,0,1,1,0,0,0,-58.5717632756335,-34.6659513402711,6997.69425944994,2
7,35.0,30.0,1,1,2,0,25,0,0,0,0,0,0,0,0,-58.5868658863298,-34.6567389394305,5254.6400209357,2
8,35.0,35.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5743889601678,-34.6893608995487,2090.80578609593,0
9,38.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5870377831375,-34.6657534146772,5302.46180744312,0
10,58.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.495647860004,-34.6813360273043,6011.06663527717,1
11,38.0,38.0,1,1,2,0,30,0,0,1,0,0,0,0,0,-58.5669917776159,-34.6443725709902,5972.30630814761,2
12,42.0,40.0,1,1,2,0,0,0,0,1,0,1,0,0,0,-58.5936875547765,-34.6710766651558,5581.59468082332,0
13,30.0,30.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.6561668263689,-34.8487697673188,1345.37565689861,2
14,76.0,42.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.3808347168876,-34.6033410934959,2444.527861649,1
15,300.0,60.0,2,1,3,0,1,0,0,1,0,0,0,0,0,-58.6085605825679,-34.7628506321383,5643.44856315226,2
16,55.0,55.0,2,1,3,0,40,0,0,1,0,0,0,0,0,-58.5409133817441,-34.6501150338194,7320.76447675217,2
17,70.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5603796337439,-34.6408506619825,12067.7516437056,2
18,40.0,33.0,1,1,2,0,15,0,0,1,0,0,0,0,0,-58.5065606464283,-34.6812016067784,5780.10402302928,2
19,56.0,54.0,2,1,3,0,0,0,0,1,0,0,0,0,0,-58.5795083062522,-34.7289679464504,4067.09137597343,0
20,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.558333142871,-34.6480902591016,6113.7545112674,2
21,55.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.6122288934006,-34.7267358656177,2284.20532140532,0
22,35.0,35.0,1,1,2,0,35,0,0,0,0,0,0,0,0,-58.5647086313693,-34.638991829043,6722.08862741728,2
23,51.0,51.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5713888385086,-34.64611933057,7580.83544773744,2
24,20.0,20.0,0,1,1,0,50,0,0,0,1,0,0,0,0,-58.5646747633609,-34.6371889078078,4204.59109674054,2
25,40.0,40.0,1,1,1,0,1,0,0,0,0,0,0,0,0,-58.6243119570242,-34.7860843763315,5041.56647056296,2
26,50.0,50.0,1,1,2,0,2,0,0,0,0,0,0,0,0,-58.613034994737,-34.7682013434487,3234.90720491247,2
27,30.0,28.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.5496401583943,-34.6500044202999,4991.90801988892,2
28,80.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.556185209598,-34.6499210505188,8012.6089534696,0
29,48.0,48.0,2,1,3,0,10,0,0,0,0,0,0,0,0,-58.5650813780859,-34.6588239254687,8407.42403349713,2
30,28.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5808684662862,-34.6856703326219,3484.67631015989,2
31,35.0,35.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5929220534712,-34.7450231195431,4628.76175177875,2
32,45.0,45.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.5625272457237,-34.6390198028051,6111.31965412251,2
33,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5739112551532,-34.6641202770173,6021.55961613585,2
34,40.0,36.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5941022304303,-34.6927112593419,4614.140334358,1
35,48.0,48.0,2,1,3,0,40,0,0,0,1,0,0,0,0,-58.5647763764122,-34.6425976698245,8652.43934553216,2
36,40.0,40.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.5562189098769,-34.6517239752839,5693.9279263628,2
37,54.0,52.0,2,1,3,0,15,0,0,0,0,0,0,0,0,-58.5562189098769,-34.6517239752839,9257.07477762879,2
38,30.0,30.0,0,1,1,0,5,0,0,0,0,0,0,0,0,-58.5626287262692,-34.6444285687466,4729.17601884213,2
39,38.0,38.0,1,1,2,0,35,0,0,0,1,0,0,0,0,-58.5647763764122,-34.6425976698245,7205.49638827943,2
40,55.0,55.0,2,2,3,0,20,0,0,0,1,1,0,0,1,-58.5605823567841,-34.6516681966346,8442.76574434091,2
41,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5648102534472,-34.6444005893706,6161.91457513251,2
42,49.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.549740843377,-34.6554132096359,6719.17028484011,1
43,90.0,87.0,3,2,4,0,50,0,0,0,0,0,0,0,0,-58.5625948964159,-34.6426256473291,13630.2960721647,2
44,70.0,62.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5783437109578,-34.6676696501596,9217.63265314869,2
45,40.0,40.0,1,1,2,0,5,0,0,1,0,0,0,0,0,-58.558333142871,-34.6480902591016,7479.30525192246,2
46,49.0,38.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.547726643896,-34.6644555740076,4697.03850186032,2
47,30.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.4979928259497,-34.6903240385668,5530.18130445499,0
48,55.0,55.0,2,1,3,0,40,0,0,0,0,0,0,0,0,-58.5651152822146,-34.6606268399469,5403.37007637818,2
49,49.0,49.0,1,1,2,0,19,0,0,0,0,0,0,0,0,-58.5718654583614,-34.6713600583574,5079.10370683704,2
50,45.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.6096259024591,-34.7051304484779,3626.32981911392,1
51,28.0,28.0,0,1,1,0,30,0,0,0,0,0,0,0,0,-58.5625610695674,-34.6408227253485,4977.16317395564,2
52,35.0,35.0,1,1,2,0,0,0,0,0,0,1,0,0,0,-58.5589072068861,-34.6787398814315,6042.83602407606,2
53,58.0,55.0,2,1,3,0,30,0,0,0,0,0,0,0,0,-58.5603796337439,-34.6408506619825,6211.34275778962,2
54,49.0,40.0,1,1,2,0,1,0,0,0,0,0,0,0,0,-58.613034994737,-34.7682013434487,3125.51420767872,2
55,32.0,32.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5631704128036,-34.673275234853,4597.81001831874,2
56,38.0,38.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5608528222945,-34.6660915446446,6279.29401592624,0
57,60.0,60.0,1,1,3,0,20,0,0,1,0,0,0,0,0,-58.5694111830646,-34.6569649084034,7985.79236416322,2
58,38.0,38.0,1,1,2,0,40,0,0,1,0,0,0,0,0,-58.5647763764122,-34.6425976698245,5989.34427312241,2
59,80.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5395990324501,-34.6970188360652,6831.03202721642,2
60,28.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5808684662862,-34.6856703326219,3399.6842054193,2
61,48.0,40.0,2,1,2,0,0,0,0,0,0,0,0,0,0,-58.5460136772447,-34.6897242241507,4880.50965116811,1
62,85.0,42.0,1,1,2,0,0,0,0,1,0,0,0,0,0,-58.5739453572429,-34.6659231822903,6798.34520006099,0
63,26.0,26.0,0,1,1,0,50,0,0,0,0,0,0,0,0,-58.5559830707771,-34.63910349011,4181.61157219186,2
64,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.556050438414,-34.6427093458305,6550.45126207221,2
65,35.0,35.0,0,1,1,0,40,0,0,0,0,0,0,0,0,-58.5847870463365,-34.6621760146617,4124.13696134465,2
66,55.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5215416037059,-34.664785250035,9190.93379956807,0
67,31.0,31.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.4858553162216,-34.6219444205403,5866.83109166521,1
68,30.0,30.0,1,1,2,0,30,0,0,0,0,0,0,0,1,-58.5804230993587,-34.6622326743571,4623.35347398923,2
69,36.0,28.0,0,1,1,0,4,0,0,0,0,0,0,0,1,-58.5632720647631,-34.678683968698,5884.26805780447,2
70,150.0,90.0,3,3,4,0,0,0,0,0,0,0,0,0,0,-58.5669578533995,-34.6425696533181,17423.3815507994,2
71,51.0,45.0,1,1,2,1,10,0,0,0,0,0,0,0,0,-58.5782411213058,-34.6622609456612,5474.8794913512,2
72,40.0,40.0,1,1,2,0,8,0,0,0,0,0,0,0,0,-58.5474584686925,-34.6500321322004,5909.93602103864,2
73,44.0,44.0,1,1,2,0,0,0,0,1,0,0,0,0,0,-58.5626287262692,-34.6444285687466,6778.48562662238,2
74,30.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5373827498549,-34.6952434734067,3152.28645953811,0
75,41.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5591438382605,-34.6913602668587,5255.73887092567,0
76,30.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5589072068861,-34.6787398814315,4336.35341557864,2
77,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5675689505806,-34.6750220852446,7355.33507225559,2
78,113.0,104.0,3,2,4,0,12,0,0,1,1,1,0,0,0,-58.5603796337439,-34.6408506619825,24018.3212942648,2
79,40.0,40.0,1,1,2,0,6,0,0,0,0,0,0,0,0,-58.5736726253233,-34.6514999243284,4880.50965116811,2
80,140.0,140.0,4,1,5,0,0,0,0,0,0,0,0,0,0,-58.5847527141962,-34.660373117714,10303.298152466,2
81,45.0,43.0,1,1,2,0,15,0,0,0,0,0,0,0,0,-58.5605485621072,-34.6498652755998,5643.44856315226,2
82,38.0,38.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.5647763764122,-34.6425976698245,5698.19444551079,2
83,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5603458570736,-34.6390477375703,5455.33361104719,1
84,60.0,60.0,1,1,3,0,20,0,0,1,0,0,0,0,0,-58.5694111830646,-34.6569649084034,7627.30884710541,2
85,23.0,23.0,0,1,1,0,20,0,0,0,0,0,0,0,0,-58.5691393273735,-34.6425415978101,5017.96634677988,2
