,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,32.0,30.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.3912435949301,-34.7042133293874,5066.79683822342,0
1,40.0,40.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.4103728185808,-34.6733358110529,5972.59580874677,2
2,43.0,36.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4021903164632,-34.705891218526,5652.97068006332,0
3,80.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4003109583971,-34.7239466561612,8028.7461548478,0
4,75.0,75.0,2,1,3,0,20,0,0,1,0,0,0,0,0,-58.4306350732791,-34.7091672671885,6921.21050153701,2
5,107.0,75.0,2,1,4,0,17,0,0,0,0,0,0,0,0,-58.3934268592617,-34.7041883785643,11168.4451007171,2
6,50.0,45.0,1,1,2,0,1,0,0,0,0,0,0,0,0,-58.4024947329171,-34.7239215304711,6987.14801287703,2
7,30.0,30.0,0,1,1,0,2,0,0,0,0,0,0,0,1,-58.3824805127751,-34.702509691836,4260.3562468456,2
8,120.0,70.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.3762593761029,-34.7224174075228,6042.83602407606,1
9,70.0,70.0,2,1,3,0,6,0,0,1,0,0,0,0,0,-58.4018557705398,-34.6860578109507,7726.62074480931,2
10,50.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.3909418415856,-34.6861828724483,6414.25697513632,0
11,55.0,55.0,1,2,2,0,0,0,0,0,0,0,0,0,1,-58.4193486943566,-34.6876587070255,5620.12230839346,0
12,25.0,25.0,1,1,1,0,9,0,0,0,0,0,0,0,0,-58.3974599045557,-34.6843049090228,3039.39566796273,2
13,50.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.393457096681,-34.7059914195244,5539.8412887312,2
14,38.0,40.0,1,1,2,0,3,0,0,0,1,0,0,0,0,-58.3714453153661,-34.6954208312698,5612.47485324428,2
15,60.0,60.0,2,1,3,0,40,0,0,0,0,0,0,0,0,-58.3960040326807,-34.7276028559043,8211.92117370296,2
16,50.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4153207784965,-34.7075427675209,7205.49638827943,2
17,34.0,30.0,1,1,1,0,0,0,0,0,0,0,0,0,1,-58.3980968221226,-34.7221687106832,4808.85330822173,2
18,50.0,50.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.3974902070296,-34.6861079527739,7465.74476093346,2
19,54.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.384874114262,-34.7151062245799,6724.87778034797,0
20,70.0,60.0,2,1,3,0,12,0,0,0,0,1,0,0,0,-58.39115304078,-34.6988041981589,7659.11149964006,2
21,46.0,34.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.3981575429263,-34.7257747742027,8093.31228719382,2
22,58.0,58.0,1,1,2,0,2,0,1,0,0,1,0,0,0,-58.4004934537336,-34.734764826618,7623.79538909213,2
23,47.0,43.0,1,1,2,0,18,0,0,0,0,0,0,0,0,-58.3933966245282,-34.7023853370466,7166.76756977713,2
24,57.0,55.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.3869974558666,-34.7114752942067,5500.18768871026,2
25,45.0,45.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.3953376791033,-34.6879360099392,5601.74052284773,2
26,54.0,48.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.3976720784118,-34.6969262035706,7898.59963636241,2
27,47.0,44.0,1,1,2,1,0,0,0,0,0,0,0,0,0,-58.4063738221015,-34.6950226896438,9195.62003663748,0
28,48.0,48.0,2,1,3,0,39,0,0,0,0,0,0,0,0,-58.3869673524458,-34.7096722499236,7085.5084973251,2
30,38.0,35.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.384874114262,-34.7151062245799,5698.19444551079,1
31,57.0,49.0,1,1,2,0,0,0,0,0,1,0,0,0,1,-58.3979147244227,-34.711350506736,8130.91139037307,2
32,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3891206160741,-34.7078443291375,4221.38287217045,2
33,60.0,50.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.4016734286811,-34.6752395601917,7040.10642630178,1
