,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,44.0,40.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.3897542887989,-34.7457081187813,7252.65963822784,2
1,55.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.4332851874859,-34.7361866809986,5474.8794913512,2
2,50.0,45.0,1,1,2,0,6,0,0,0,0,0,0,0,1,-58.4074432126461,-34.7581285366737,7524.59808420301,2
3,25.0,25.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4035012278758,-34.7834211638795,5422.7885012979,2
4,54.0,54.0,1,1,2,1,35,0,0,0,1,1,0,0,0,-58.4030738696717,-34.7581789694145,5500.18768871026,2
5,54.0,49.0,1,1,2,0,10,0,1,0,0,1,0,0,0,-58.3940927033334,-34.7438551508568,7524.59808420301,2
6,48.0,48.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4029518649066,-34.7509668937517,10199.0526162579,1
7,40.0,40.0,1,1,2,0,5,0,0,0,0,0,0,0,1,-58.4115670603054,-34.7436538409293,6161.91457513251,2
8,55.0,50.0,1,1,2,0,10,0,0,0,0,1,0,0,1,-58.398978330448,-34.774456413245,8652.43934553216,2
9,120.0,108.0,2,2,3,0,0,0,1,1,0,1,1,0,1,-58.4031959177927,-34.7653910361442,31263.1358565378,0
10,30.0,30.0,0,1,1,0,0,0,0,1,0,0,0,0,0,-58.3942139057511,-34.7510672622665,4466.44401779535,2
11,32.0,28.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4210457083916,-34.7868242948263,4273.64583413309,2
12,31.0,29.0,1,1,2,1,40,0,0,0,0,0,0,0,0,-58.3986741055249,-34.7564262240038,4583.48974059188,2
13,40.0,40.0,1,1,3,0,0,0,0,0,0,0,0,0,0,-58.4162126586928,-34.7598302084339,9182.86605651946,2
14,50.0,45.0,1,1,2,0,25,0,0,0,0,0,0,0,0,-58.4053196560896,-34.7617598037491,7098.67743747385,2
15,40.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4185516048153,-34.7688197949243,6161.91457513251,1
16,46.0,46.0,1,1,2,0,8,0,0,0,1,0,0,0,1,-58.4053807805209,-34.765365832631,7524.59808420301,2
17,68.0,65.0,2,1,3,0,30,0,0,0,1,0,0,0,0,-58.4009501178238,-34.761810164859,7049.62505168727,2
18,70.0,64.0,2,2,3,0,20,0,0,0,1,0,0,0,1,-58.394577771491,-34.7727035429259,15989.7709289314,2
19,69.0,46.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.4052279898001,-34.756350756238,7944.71555035926,0
20,48.0,48.0,1,1,2,0,6,0,0,1,1,0,0,0,0,-58.4293519215661,-34.7614800160275,5612.47485324428,2
21,50.0,50.0,1,1,2,0,30,0,0,1,1,0,0,0,0,-58.400919654618,-34.760007146217,7148.36817999286,2
22,38.0,36.0,0,1,1,0,6,0,0,0,0,1,0,0,1,-58.394304835829,-34.756476339965,4180.61441570332,2
23,48.0,48.0,1,1,2,0,6,0,0,1,0,0,0,0,1,-58.400919654618,-34.760007146217,6743.74356560016,2
24,46.0,46.0,1,1,2,0,6,0,0,0,1,0,0,0,1,-58.4053807805209,-34.765365832631,7142.22915507069,2
25,49.0,49.0,1,1,2,0,2,0,0,0,1,0,0,0,0,-58.4052585425159,-34.7581537726335,6504.72911229846,2
26,68.0,68.0,2,1,3,1,0,0,0,0,0,0,0,0,0,-58.3897240870962,-34.743905086756,8430.18346259019,2
27,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4009805837356,-34.7636131829427,5474.8794913512,2
28,80.0,80.0,2,1,3,0,5,0,0,0,0,0,0,0,1,-58.4053502169479,-34.7635628184693,13953.9867020583,2
29,45.0,40.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.4414579875943,-34.7036295681656,4646.23508021318,2
