,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,100.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7330786841133,-34.6565511814949,4759.55788758702,2
1,75.0,68.0,3,2,4,0,0,0,0,0,0,0,0,0,0,-58.7005376155179,-34.6660260275007,10643.3069934107,1
2,40.0,40.0,1,1,2,0,10,0,0,0,0,0,0,0,1,-58.7246135441432,-34.6692943258828,6550.45126207221,2
3,68.0,66.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7026457787057,-34.6623899861598,9257.07477762879,1
4,65.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.731047011481,-34.6637932350953,8873.34679684232,2
5,60.0,60.0,1,1,2,1,8,1,0,0,1,0,0,0,0,-58.7289026168062,-34.6656269674821,5864.2802955384,2
6,45.0,45.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7202122561233,-34.6675532296828,5933.1877020011,1
7,31.0,31.0,1,1,2,1,2,0,0,0,0,0,0,0,1,-58.7224688661371,-34.6711279518811,6272.4173582878,2
8,53.0,53.0,1,1,2,0,15,0,0,0,0,0,0,0,0,-58.7005376155179,-34.6660260275007,7069.94907659082,2
9,50.0,35.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7286779180219,-34.6548103727972,4138.52894631166,2
10,50.0,40.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.6983924696554,-34.6678592437471,7914.15895209832,0
11,29.0,20.0,1,1,1,0,0,0,0,1,0,0,0,0,0,-58.7095988140914,-34.6821289625535,2026.26377864182,0
12,50.0,50.0,1,2,2,0,7,0,0,0,0,0,0,0,1,-58.7026826669382,-34.6641927757302,6832.46053220337,2
13,71.0,49.0,2,1,3,0,35,0,0,0,0,0,0,0,1,-58.7112619283754,-34.656859413561,6719.17028484011,2
14,80.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7376678471317,-34.6673056084251,8612.53332039556,1
15,60.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7134065077185,-34.6550259842859,5422.7885012979,1
16,54.0,54.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7331162233177,-34.6583539439867,3484.67631015989,1
17,27.0,27.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.6854830742324,-34.6770549935329,4736.27273194494,1
18,70.0,65.0,2,1,3,1,0,0,0,0,0,0,0,0,0,-58.679045501108,-34.6825537845043,5909.93602103864,2
19,15.0,15.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.7310845168097,-34.6655959973817,2627.32001046785,2
20,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7221703476583,-34.6567057851767,4889.05572329801,2
21,70.0,65.0,2,1,3,1,0,0,0,0,0,0,0,0,0,-58.679045501108,-34.6825537845043,5605.73190374422,2
22,60.0,60.0,2,1,3,0,20,0,0,0,0,0,0,0,0,-58.7245388068221,-34.6656887906097,5773.0977640462,2
23,35.0,35.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7263467539796,-34.647630208684,4598.77151205996,0
24,60.0,60.0,1,1,2,1,8,1,0,0,1,0,0,0,0,-58.7245388068221,-34.6656887906097,5586.24351771601,2
25,60.0,60.0,1,1,2,1,8,1,0,0,1,0,0,0,0,-58.7245388068221,-34.6656887906097,6093.5441263795,2
27,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7205851638599,-34.6855809188189,4479.44685656008,2
28,45.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7091172546347,-34.6586928073508,3022.04985078226,0
29,40.0,25.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.73093451548,-34.6583849448186,4106.1596185134,2
