,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,120.0,120.0,2,2,3,0,0,0,1,0,0,0,0,0,1,-58.7807273239928,-34.639634867613,15972.0242343162,0
1,80.0,80.0,3,2,7,0,0,0,0,0,0,0,0,0,0,-58.7964231944462,-34.6592406504441,4665.12950629996,2
2,40.0,30.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.8745951383665,-34.6418342216135,2550.79612681096,2
3,90.0,90.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7613636721633,-34.65253917538,12609.1458381524,1
4,110.0,110.0,0,2,2,0,6,0,0,0,0,0,0,0,1,-58.7896068986146,-34.6467179745213,21834.8375402407,2
5,60.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7636597810344,-34.6579158360079,5041.83871465107,2
6,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7783152369407,-34.628850352395,5248.27069458746,0
7,66.0,56.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7828698919656,-34.6378002710338,8555.84751577151,1
8,29.0,29.0,0,1,1,0,6,0,0,0,0,0,0,0,0,-58.7872707887943,-34.6395391203593,4329.62345821702,2
9,37.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7876191056474,-34.6557635344808,5562.28243641353,0
10,79.0,79.0,2,2,3,0,0,0,1,1,1,0,1,0,0,-58.7918658277434,-34.6502913494741,11712.8177718319,0
11,68.0,68.0,2,1,3,0,4,0,0,0,0,0,0,0,2,-58.7939695616933,-34.64665385299,8710.03555442237,2
12,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.8094738670977,-34.657244337753,4761.47944442057,1
13,80.0,80.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7915167548651,-34.6340669584579,5601.74052284773,2
14,73.0,73.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.7656884702322,-34.6506733222284,4067.09137597343,2
15,110.0,110.0,0,2,2,0,6,0,0,0,0,0,0,0,1,-58.7896068986146,-34.6467179745213,23231.1754010659,2
16,38.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7658796889556,-34.6596869805074,5049.29597363282,2
17,100.0,70.0,2,1,2,0,0,0,0,0,0,0,0,0,2,-58.7828698919656,-34.6378002710338,7881.96003140356,2
18,40.0,40.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.7533395518074,-34.5823261509235,2849.0972227554,2
19,25.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7615162764009,-34.6597501177469,3173.03859172468,1
20,88.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.745979516236,-34.6473506111691,6376.9903170274,0
21,40.0,40.0,1,1,2,0,5,0,0,0,0,0,0,0,1,-58.8179639610669,-34.6462983966594,4186.19601061749,2
22,21.0,21.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.7939695616933,-34.64665385299,3399.6842054193,2
23,60.0,60.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.761058626289,-34.6381172632508,19052.0534071056,0
24,30.0,30.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7916718639183,-34.6412778046288,4181.61157219186,1
25,45.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7767111911843,-34.6559230142819,5225.76801962915,0
26,34.0,34.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7831014857279,-34.6486165813253,3056.8772556337,1
27,40.0,30.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.7888326400973,-34.6106636436483,3221.00080063745,2
28,110.0,100.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.7808815311935,-34.6468457496696,7963.46107832902,2
29,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.794319276336,-34.662878188658,7652.38838043289,0
30,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7917494391121,-34.6448832242828,7213.2799623326,1
31,40.0,40.0,1,1,2,0,20,0,0,0,0,0,0,0,1,-58.8701924412861,-34.6400985881059,3152.28645953811,2
32,60.0,60.0,2,1,3,0,15,0,0,0,0,0,0,0,0,-58.789568153015,-34.6449152634095,6799.3684108386,2
33,38.0,30.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.7481609175317,-34.6473193497923,4481.39241827819,2
34,40.0,40.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7724631778367,-34.6613947056403,3940.98001570178,1
35,40.0,40.0,0,1,1,0,0,0,0,0,1,0,0,0,0,-58.7896844001386,-34.6503233950293,5146.54114216854,1
36,85.0,85.0,3,1,5,0,0,0,0,0,0,0,0,0,1,-58.7671814022296,-34.6181924557342,5253.81076589685,2
37,25.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.811733938998,-34.6608173030994,1774.66935936846,1
38,50.0,50.0,1,1,2,0,0,0,0,0,0,1,0,0,0,-58.7894906721387,-34.6413098394702,5065.65944660455,0
39,45.0,43.0,2,1,3,0,30,0,0,0,0,0,0,0,0,-58.759296456094,-34.6579788910039,6414.55307116245,2
40,65.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7919046308459,-34.6520940567272,5780.10402302928,2
41,50.0,50.0,1,1,2,0,0,0,0,0,0,1,0,0,0,-58.7894906721387,-34.6413098394702,5041.56647056296,0
42,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7917494391121,-34.6448832242828,5248.27069458746,1
43,102.0,60.0,1,1,3,0,0,0,0,1,1,0,1,0,0,-58.7917494391121,-34.6448832242828,9977.10049197169,0
44,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.759296456094,-34.6579788910039,4327.96797739956,2
45,85.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7896844001386,-34.6503233950293,7986.01211715808,2
46,50.0,50.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.7874642637826,-34.6485526894782,6754.21259547273,2
47,50.0,50.0,2,1,3,0,15,0,0,0,0,0,0,0,0,-58.789568153015,-34.6449152634095,7025.15288549183,2
48,55.0,55.0,1,1,2,0,4,0,0,0,0,0,0,0,0,-58.7658031912759,-34.6560815189087,5781.31275801824,2
49,28.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7490179359789,-34.5841914869597,3366.19731575521,2
50,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.785089637291,-34.6395710750933,5458.70938506018,1
51,50.0,50.0,1,1,2,0,7,0,0,0,0,0,0,0,1,-58.7830242740936,-34.6450111468478,7287.45147486748,2
52,28.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7490179359789,-34.5841914869597,3165.66358083933,2
53,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7614781202586,-34.6579473830114,9217.63265314869,0
54,70.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7744143107623,-34.6505466219623,8676.46160207665,2
55,65.0,65.0,1,1,2,1,2,0,0,0,0,1,0,0,1,-58.7828698919656,-34.6378002710338,12029.5216071894,2
56,37.0,35.0,0,1,1,0,5,0,0,0,0,0,0,0,1,-58.7786616709961,-34.6450748741867,4727.94881683091,2
57,85.0,80.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.811733938998,-34.6608173030994,4192.94385335047,0
58,35.0,30.0,0,1,1,0,1,0,0,0,0,0,0,0,1,-58.7917106497927,-34.6430805147418,5562.28243641353,2
59,60.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7478203938599,-34.6310945673022,4479.44685656008,2
60,47.0,47.0,1,1,1,0,0,0,0,0,0,0,0,0,1,-58.7763265480599,-34.6378957780012,6174.20202459945,0
61,45.0,45.0,0,1,2,0,0,0,0,0,0,0,0,0,1,-58.7658796889556,-34.6596869805074,4702.90281873746,0
62,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7614781202586,-34.6579473830114,11286.8971263045,0
63,30.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7614781202586,-34.6579473830114,7524.59808420301,0
64,65.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7789313112268,-34.6576939146927,6014.76080359472,2
65,50.0,50.0,1,1,2,1,3,0,0,0,0,1,0,0,1,-58.7917106497927,-34.6430805147418,6442.00160127489,2
66,40.0,40.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.7725738863656,-34.5640151828596,1965.13537862166,2
67,100.0,100.0,2,2,3,0,0,0,0,0,0,0,0,0,0,-58.7763265480599,-34.6378957780012,13508.4251909455,0
68,40.0,40.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.7536047334415,-34.5949454939351,3090.15690911863,2
69,55.0,55.0,1,1,2,0,3,0,0,0,0,0,0,0,1,-58.7611729930921,-34.6435254845794,6011.06663527717,2
70,37.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7876191056474,-34.6557635344808,5605.73190374422,0
71,160.0,160.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7498877786088,-34.6256550209511,3060.95535217315,2
72,100.0,70.0,2,1,2,0,0,0,0,0,0,0,0,0,2,-58.7828698919656,-34.6378002710338,8402.6107842716,2
73,40.0,35.0,0,1,1,0,4,0,0,0,0,0,0,0,1,-58.7914779862114,-34.6322642454854,4770.46017543434,2
74,110.0,110.0,0,2,2,0,6,0,0,0,0,0,0,0,1,-58.7896068986146,-34.6467179745213,24885.8158697782,2
75,46.0,46.0,2,1,3,0,30,0,0,0,0,0,0,0,0,-58.7854375296156,-34.6557955084538,6584.02332367764,2
76,500.0,100.0,2,1,4,0,25,0,0,1,0,1,0,0,1,-58.787038732195,-34.6287228185497,10035.9326935598,2
77,41.0,41.0,1,1,2,0,10,0,0,0,0,0,0,0,1,-58.7894906721387,-34.6413098394702,7025.15288549183,2
78,40.0,34.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7917494391121,-34.6448832242828,5253.81076589685,1
79,70.0,65.0,2,1,3,0,2,0,0,0,0,0,0,0,0,-58.7941638130938,-34.655667378527,8028.7461548478,2
80,51.0,41.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7917494391121,-34.6448832242828,6997.69425944994,0
81,50.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7894132050247,-34.6377044132436,7098.67743747385,1
82,56.0,36.0,1,1,2,0,2,0,0,0,0,0,0,0,1,-58.8071748575857,-34.6518686308406,5065.65944660455,2
83,60.0,60.0,2,1,3,0,15,0,0,0,0,0,0,0,0,-58.789568153015,-34.6449152634095,6304.57291907622,2
84,30.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.7872707887943,-34.6395391203593,4336.35341557864,1
85,50.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7680230924028,-34.6578526249687,5253.81076589685,0
86,28.0,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.8265309242345,-34.6389572693338,3666.7917924735,1
87,35.0,35.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.7658796889556,-34.6596869805074,2982.53367571385,0
88,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7545911385975,-34.6418170948467,3732.69144259225,0
89,45.0,45.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.7873094769187,-34.6413418353266,4810.69273135224,2
90,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7900721143285,-34.6683504632516,5723.73765004899,0
