,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,32.0,32.0,1,1,1,0,0,0,0,0,0,0,0,0,1,-58.6196280080162,-34.6581113839741,4373.55891215621,2
1,38.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.6193825035712,-34.6454913003595,4889.05572329801,2
2,32.0,32.0,1,1,2,0,25,0,0,0,0,0,0,0,0,-58.6260326006514,-34.6508127904153,5225.76801962915,2
3,70.0,45.0,1,1,2,0,15,0,0,0,0,0,0,0,0,-58.5777285829153,-34.6352173470793,7619.22803035677,2
4,37.0,34.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.6196280080162,-34.6581113839741,5685.88871277828,2
5,38.0,38.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.6174111455762,-34.6563374845721,6119.43156975474,2
6,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.619557848312,-34.6545056486243,6853.19674331445,0
7,45.0,34.0,1,1,2,0,8,0,0,0,0,0,0,0,1,-58.6107960079812,-34.6528184024866,4665.12950629996,2
8,38.0,38.0,1,1,2,0,8,0,0,0,0,0,0,0,1,-58.6282142275953,-34.6507836721961,6279.29401592624,2
9,56.0,28.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.6456671300459,-34.6505493221123,9433.77673194617,2
10,50.0,40.0,1,1,2,0,10,0,0,0,0,0,0,0,2,-58.5866253590216,-34.6441186503991,8415.49328938803,2
11,55.0,50.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.6107960079812,-34.6528184024866,6331.32716167866,2
12,20.0,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.6421934713479,-34.6956792132106,3626.32981911392,0
13,55.0,45.0,1,1,3,0,0,0,0,0,0,0,0,0,0,-58.6111100969519,-34.6690442684495,6504.72911229846,2
14,48.0,42.0,1,1,2,0,5,0,1,1,0,1,0,0,0,-58.6173761144864,-34.6545346146775,8162.54760579508,2
15,45.0,45.0,1,1,2,0,5,0,0,0,0,0,1,0,0,-58.6282494884393,-34.6525865335098,5972.30630814761,2
