,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,63.0,51.0,1,1,2,0,8,0,0,0,0,1,0,0,1,-58.8419051679147,-34.4457740719655,18883.1527664396,2
1,77.0,65.0,1,1,2,0,10,0,0,1,0,1,0,0,1,-58.8334374300048,-34.4567212756126,14139.8981531816,2
2,50.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.8376715704488,-34.4512477406143,10694.8093947144,0
3,187.0,88.0,2,2,3,0,0,0,0,0,0,0,0,0,0,-58.7547478706987,-34.4416463312409,26725.8282466835,0
4,46.0,46.0,1,1,2,0,0,0,0,0,1,0,0,0,2,-58.7915859720516,-34.4338986369734,7213.2799623326,2
5,97.0,80.0,2,2,3,0,5,0,1,1,0,1,0,0,1,-58.7915474904332,-34.4320958649006,19235.4132328869,2
6,35.0,35.0,1,1,2,0,10,0,0,0,0,1,0,0,1,-58.8415886293555,-34.4313523103948,13648.8684632413,2
7,46.0,39.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.4992657720907,-34.6398140776198,2404.41900608595,1
8,42.0,35.0,1,1,2,0,4,0,0,0,0,0,0,0,1,-58.8415886293555,-34.4313523103948,13009.4582245969,2
9,207.0,176.0,2,2,3,0,0,0,1,0,1,1,1,1,1,-58.7981519458474,-34.4356055706819,65677.312503787,0
10,114.0,89.0,1,1,2,0,0,0,1,0,0,1,0,0,1,-58.7981133207801,-34.4338028056069,29046.660432441,0
11,50.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.8532234768973,-34.4654393749425,5474.8794913512,0
12,60.0,57.0,1,1,2,0,10,0,0,1,0,0,0,0,1,-58.8413513730256,-34.4205359651814,15349.3853722641,2
13,56.0,50.0,1,2,2,0,10,0,1,1,1,1,0,0,1,-58.8419051679147,-34.4457740719655,13145.445594288,2
14,68.0,53.0,1,1,2,0,1,0,0,0,0,0,0,0,1,-58.8376715704488,-34.4512477406143,12707.913939193,2
15,45.0,38.0,1,1,1,0,0,0,1,1,1,1,0,0,0,-58.8003664437551,-34.4373763097321,13508.4251909455,0
16,52.0,40.0,0,1,1,0,0,0,0,0,0,0,0,0,1,-58.8392549676366,-34.424174161022,11478.5825706493,0
17,65.0,57.0,1,1,2,0,0,0,0,0,1,0,0,0,1,-58.804950855834,-34.448128679087,8927.78644383837,2
18,50.0,45.0,1,1,2,0,8,0,0,0,0,1,0,0,1,-58.8002117636516,-34.4301652568823,16859.3589140004,2
19,28.0,28.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7773485903259,-34.4809931510018,7025.15288549183,0
20,60.0,60.0,1,2,2,0,19,0,0,0,0,0,0,0,1,-58.8659538866091,-34.5481969564491,9803.04591498353,2
21,39.0,33.0,0,1,1,0,0,0,0,0,0,0,0,0,1,-58.8456228855905,-34.4168649235035,9617.70661644347,2
22,30.0,27.0,1,1,1,0,5,0,0,0,1,1,0,1,1,-58.8398082074575,-34.449412282542,6718.84459666606,2
23,174.0,174.0,3,3,4,0,6,0,0,1,0,1,0,0,2,-58.8520294550056,-34.4113580998256,43569.9906486615,2
24,75.0,65.0,2,1,3,0,5,0,0,1,0,1,0,0,1,-58.8328465898414,-34.429680362517,16930.3456894568,2
25,75.0,75.0,1,1,4,0,0,0,0,0,0,0,0,0,0,-58.37662226222,-34.6124057932797,7205.49638827943,1
26,98.0,81.0,2,2,3,0,15,0,0,0,0,0,0,0,1,-58.7892564630031,-34.4267194031309,21834.8375402407,2
27,79.0,65.0,1,1,2,1,5,0,0,1,0,1,0,0,1,-58.844001952132,-34.4421358291961,23903.1792206259,2
28,30.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.8676963149475,-34.4309562463511,5807.79385026648,0
29,36.0,36.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.8703541077252,-34.4525552726042,4338.23080103832,2
