,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.2561487907955,-34.7237152939419,6507.34620155748,2
1,66.0,62.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.2974170585103,-34.7088554461456,9489.87987727133,0
2,150.0,140.0,3,3,4,0,0,0,0,0,0,0,0,0,2,-58.2517809907917,-34.7237602591695,30809.5728756625,2
3,35.0,35.0,1,1,2,0,40,0,0,0,1,0,0,0,0,-58.2561487907955,-34.7237152939419,4697.03850186032,2
4,43.0,40.0,1,1,2,0,2,0,0,0,0,0,0,0,1,-58.2604344749164,-34.7182607717265,8958.45946222141,2
5,51.0,45.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.2540465934802,-34.7291472051406,4729.17601884213,2
6,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.271739865427,-34.7433910250612,4583.48974059188,2
7,58.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.286499668323,-34.7089712216579,8465.17284472839,2
8,60.0,60.0,2,1,3,0,30,0,0,0,0,0,0,0,0,-58.256066968927,-34.7183058844555,9270.47072735589,2
9,30.0,30.0,1,1,2,1,0,1,0,0,1,0,0,0,0,-58.2561760695977,-34.7255184293305,5422.7885012979,2
10,80.0,70.0,2,2,3,0,6,0,0,0,0,0,0,0,1,-58.2604071110484,-34.716457637139,17938.3420919815,2
11,43.0,40.0,1,1,2,0,9,0,0,0,0,1,0,0,1,-58.2690868048938,-34.7127606894862,7226.6409475228,2
12,37.0,34.0,0,1,1,0,14,0,0,0,0,0,0,0,0,-58.2886551839943,-34.7071450272739,5045.15871336979,2
13,34.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.2849020804612,-34.7468596637772,5666.1403423655,2
14,50.0,42.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.2494885648109,-34.7165701179777,9617.70661644347,2
15,43.0,43.0,1,1,2,0,0,0,0,1,0,0,0,0,0,-58.2583053633945,-34.7218896181874,6414.55307116245,0
16,42.0,42.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.2625634042092,-34.7146318899631,8250.28153306538,0
17,110.0,100.0,3,2,4,0,60,0,0,1,0,0,0,0,0,-58.2583326871648,-34.7236927526231,8652.43934553216,2
18,55.0,55.0,1,1,2,0,0,0,1,0,0,0,0,0,1,-58.2517809907917,-34.7237602591695,11825.4124595828,0
19,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3374452070127,-34.7535074502571,3972.35777517963,2
20,60.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.2583326871648,-34.7236927526231,8130.91139037307,2
21,50.0,46.0,1,1,2,0,15,0,0,1,1,0,0,0,1,-58.2626182242668,-34.7182381566692,9621.38546270448,2
22,69.0,65.0,2,1,3,0,10,0,0,0,0,0,0,0,1,-58.2496513628052,-34.7273889623083,11396.3888910216,2
23,49.0,40.0,1,1,2,0,7,0,0,0,0,0,0,0,1,-58.2476028562,-34.7364270459452,5807.79385026648,2
24,210.0,160.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.260735637952,-34.7380952156516,13139.3372563634,2
25,55.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.24962422378,-34.7255858229698,10507.6215317937,2
26,155.0,155.0,3,2,4,0,27,0,0,1,0,0,0,0,1,-58.2604892099453,-34.721867039241,14214.7217819457,2
27,57.0,36.0,1,1,1,0,0,0,0,0,0,0,0,0,1,-58.271436014259,-34.7235566828488,6623.71557774944,0
28,62.0,62.0,2,1,3,0,20,0,0,0,1,0,0,0,1,-58.275665280522,-34.7144953961734,6935.03021098384,2
29,111.0,111.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.2626182242668,-34.7182381566692,14975.7240596668,1
30,50.0,50.0,1,1,2,0,0,1,0,0,1,0,0,0,1,-58.2912590990574,-34.7341685940628,5965.06735142769,2
31,70.0,70.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.2604344749164,-34.7182607717265,11615.587700533,1
32,62.0,55.0,2,1,3,0,22,0,0,0,0,0,0,0,0,-58.2343633065767,-34.7275448546546,4992.95192737939,2
33,103.0,100.0,2,1,3,0,8,0,0,1,1,1,0,0,1,-58.258250723135,-34.7182833476554,17855.5728876767,2
34,55.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.2431803579482,-34.7328654363075,6507.34620155748,2
35,35.0,33.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.2604618412153,-34.7200639057605,7289.26485359369,2
36,42.0,42.0,1,1,2,0,35,0,0,0,0,0,0,0,0,-58.2560942404603,-34.7201090215044,5194.62170600413,2
37,48.0,40.0,1,1,2,0,50,0,0,0,0,0,0,0,0,-58.2583326871648,-34.7236927526231,5212.84911497626,2
38,60.0,55.0,2,2,3,0,3,0,0,0,0,1,0,0,0,-58.2690317152652,-34.7091544285565,12691.1509048137,2
39,90.0,80.0,3,2,4,0,40,0,0,0,0,0,0,0,0,-58.2583326871648,-34.7236927526231,11819.8720420773,2
40,60.0,60.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.3138714985788,-34.7826183547811,5422.7885012979,0
41,60.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.2561487907955,-34.7237152939419,7998.61303941441,1
42,52.0,50.0,0,1,2,0,12,0,0,0,0,0,0,0,0,-58.2865834431729,-34.7143805754845,8028.7461548478,2
