,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
895,187,30219,87658,2022-02-01,Departamento,62.0,37.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,S,-58.5588918998277,-34.4443008580329,2022,6422.99692387824
979,1342,211084,87008,2022-02-01,Departamento,0.0,90.0,2,2,3,0.0,No,0 años,0,No,0,No,Sí,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,2,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Punta Chica,N,-58.5415475261038,-34.448127636863,2022,33665.8003240381
1305,1496,237043,87987,2022-02-01,Departamento,55.0,55.0,1,2,2,0.0,0,4 años,0,Sí,0,0,Sí,0,0,Sí,0,0,0,0,0,0,0,0,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Buena Vista,U,-58.5588584019333,-34.4424978742232,2022,42082.2504050477
481,1394,218793,89302,2021-08-01,Departamento,93.0,81.0,2,2,3,0.0,No,4 años,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,1,0.0,Sí,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5609005220635,-34.4352581705526,2021,17420.0711088447
194,1154,181831,87990,2022-10-01,Departamento,69.0,60.0,1,1,2,,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,N,-58.5523295777433,-34.4425809527529,2022,8652.43934553216
108,1129,177715,86351,2021-06-01,Departamento,40.0,40.0,1,1,2,0.0,No,0 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,,N,-58.5394372659077,-34.4517610612156,2021,8144.69203245034
1028,97,13764,88316,2022-06-01,Departamento,32.0,32.0,0,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5588249070151,-34.4406948898523,2022,7697.10837016359
328,530,80554,88646,2021-09-01,Departamento,56.0,48.0,1,1,2,0.0,0,3 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5566152367394,-34.4389196327571,2021,10819.9199434989
381,256,39944,87667,2022-06-01,Departamento,95.0,95.0,2,1,3,,1,0,,1,,1,1,1,1,1,,,1,,,,,1,1,1,,,,,,1.0,,,San Fernando,Bs.As. G.B.A. Norte,,N,-58.539304926867,-34.4445490649943,2022,29230.1699267572
284,501,76484,85364,2022-02-01,Departamento,82.0,68.0,2,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Victoria,N,-58.5395365510581,-34.4571700524954,2022,17863.9601945364
1058,1017,159811,87989,2021-01-01,Departamento,100.0,50.0,1,1,2,0.0,No,15 años,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,Sí,Sí,1,0.0,No,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5545058554425,-34.4425532986232,2021,11396.3888910216
630,165,26319,84367,2021-10-01,Departamento,0.0,45.0,2,1,3,0.0,No,0 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Victoria,N,-58.5614038254365,-34.4623028744966,2021,7433.97612834109
1483,135,20690,87986,2021-07-01,Departamento,55.0,50.0,2,1,3,0.0,No,14 años,0,No,0,No,Sí,No,Sí,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5610346707166,-34.4424701039534,2021,11478.5825706493
