,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,62.0,37.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5588918998277,-34.4443008580329,6422.99692387824,1
1,90.0,90.0,2,2,3,0,0,0,0,1,0,1,0,0,2,-58.5415475261038,-34.448127636863,33665.8003240381,0
2,55.0,55.0,1,2,2,0,4,0,0,1,0,1,0,0,1,-58.5588584019333,-34.4424978742232,42082.2504050477,2
3,93.0,81.0,2,2,3,0,4,0,1,0,1,1,0,0,1,-58.5609005220635,-34.4352581705526,17420.0711088447,2
4,69.0,60.0,1,1,2,0,0,0,0,0,1,0,0,1,0,-58.5523295777433,-34.4425809527529,8652.43934553216,0
5,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5394372659077,-34.4517610612156,8144.69203245034,0
6,32.0,32.0,0,1,1,0,13,1,0,0,0,0,0,0,0,-58.5588249070151,-34.4406948898523,7697.10837016359,2
7,56.0,48.0,1,1,2,0,3,0,0,0,0,0,0,0,0,-58.5566152367394,-34.4389196327571,10819.9199434989,2
8,95.0,95.0,2,1,3,1,0,0,1,1,1,1,1,0,1,-58.539304926867,-34.4445490649943,29230.1699267572,0
9,82.0,68.0,2,2,3,0,0,0,0,0,0,0,0,0,0,-58.5395365510581,-34.4571700524954,17863.9601945364,0
10,100.0,50.0,1,1,2,0,15,0,0,0,0,0,0,0,1,-58.5545058554425,-34.4425532986232,11396.3888910216,2
11,45.0,45.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5614038254365,-34.4623028744966,7433.97612834109,0
12,55.0,50.0,2,1,3,0,14,0,0,1,0,0,0,0,0,-58.5610346707166,-34.4424701039534,11478.5825706493,2
13,44.0,40.0,0,1,1,0,0,0,0,0,0,1,0,0,1,-58.5501866080961,-34.4444115594033,6968.0284435379,2
14,37.0,37.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5854846251678,-34.46920643623,5255.73887092567,1
15,65.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5545058554425,-34.4425532986232,11224.9497064886,1
17,23.0,23.0,0,1,1,0,11,0,0,0,0,0,0,0,0,-58.5501866080961,-34.4444115594033,5530.18130445499,2
18,48.0,46.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5609675904305,-34.4388641383755,7963.46107832902,2
19,60.0,55.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5501199890241,-34.4408055763738,10648.0161562108,1
20,50.0,47.0,1,1,2,0,11,0,0,0,0,0,0,0,1,-58.5416469338267,-34.4535366259876,9803.04591498353,2
21,35.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5566486819708,-34.440722619549,6019.67846736241,0
22,45.0,45.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5591935148461,-34.460527687063,7881.96003140356,0
23,39.0,39.0,0,1,1,0,0,0,0,0,0,0,0,0,1,-58.5944324438722,-34.481713755794,9621.82960674367,0
24,37.0,37.0,1,1,2,0,0,0,0,1,0,0,0,0,0,-58.5609675904305,-34.4388641383755,7666.28788235175,0
25,68.0,64.0,2,1,3,0,15,0,0,0,1,0,0,0,1,-58.5588584019333,-34.4424978742232,11944.6126162952,2
26,69.0,64.0,1,1,2,0,10,0,0,0,1,1,0,0,0,-58.5523295777433,-34.4425809527529,9517.68328008538,2
27,50.0,45.0,1,1,2,0,10,0,0,0,0,1,0,0,0,-58.5566486819708,-34.440722619549,7986.01211715808,2
