,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
1,90.0,80.0,2,1,3,0,20,0,0,1,0,1,0,0,1,-58.4987595442065,-34.490138449515,21301.781234228,2
2,72.0,62.0,1,2,2,0,0,0,0,0,0,1,0,0,1,-58.489888907392,-34.4812298469149,35352.5291229906,0
3,325.0,280.0,4,3,5,0,40,0,0,1,0,0,0,0,2,-58.4986950245937,-34.4865324070986,67331.6006480762,2
4,61.0,46.0,1,1,1,0,0,0,1,0,0,1,0,0,1,-58.5352162110498,-34.4590278090555,10917.4187701204,0
5,63.0,60.0,1,1,1,0,1,0,1,0,0,0,0,0,1,-58.5352162110498,-34.4590278090555,5846033.98535143,2
6,35.0,35.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4944044020625,-34.4901917987571,11198.6171414002,0
7,74.0,70.0,2,2,3,0,15,0,1,1,0,1,0,0,1,-58.5136766910215,-34.4719203969272,27907.9734041166,2
8,57.0,57.0,1,1,2,0,10,0,0,0,0,0,0,0,2,-58.5245292604681,-34.4699820735092,14057.9277291052,2
9,74.0,74.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5490429381908,-34.5003316453071,12664.2057733396,0
10,65.0,64.0,2,2,3,0,10,0,0,1,0,1,0,0,1,-58.5223522403689,-34.4700092129172,18368.9474310561,2
11,128.0,112.0,2,2,3,1,0,0,1,1,0,1,0,0,2,-58.5879006777413,-34.4817988178897,65026.0794786188,0
12,182.0,155.0,3,2,4,0,0,0,0,1,0,0,0,0,2,-58.5093225253496,-34.4719742530442,44704.9657703345,0
13,110.0,100.0,3,1,4,0,40,0,0,1,1,0,0,0,1,-58.498727282967,-34.4883354285865,33624.3889017399,2
14,67.0,60.0,2,1,3,0,30,0,0,0,0,0,0,0,0,-58.5495102340445,-34.5255732460333,10509.2800418714,2
15,30.0,30.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5180308451213,-34.4718663857768,6976.99335102915,0
16,93.0,83.0,2,2,3,0,3,0,0,1,1,1,0,0,1,-58.5009048029115,-34.488308697579,18913.7187572287,2
17,68.0,65.0,2,1,3,0,30,0,0,1,0,0,0,0,1,-58.51149960963,-34.4719473443649,15761.4322976906,2
18,52.0,50.0,2,1,3,0,40,0,0,1,0,0,0,0,0,-58.5051302560556,-34.4810430514389,11000.3753774205,2
19,61.0,61.0,2,1,3,0,70,0,0,1,1,0,0,0,0,-58.5009048029115,-34.488308697579,9617.70661644347,2
20,220.0,220.0,3,4,4,0,0,0,1,1,0,1,0,0,2,-58.4942114394518,-34.4793736433415,138468.023549142,0
21,95.0,90.0,3,2,4,0,0,0,0,0,0,0,0,0,1,-58.5201098251537,-34.4664302949014,20044.553047301,2
22,43.0,39.0,1,1,2,0,0,0,0,1,0,0,0,0,1,-58.5031146748848,-34.490084945131,8791.01162229674,0
23,114.0,96.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.5333692539608,-34.4770851151785,36667.917924735,1
