,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,85.0,85.0,2,2,3,0,5,0,0,0,0,0,0,0,1,-58.7247052725367,-34.568307697138,7256.07308507032,2
1,35.0,35.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.702433843447,-34.5451770801287,4977.16317395564,2
2,30.0,30.0,0,1,1,0,3,0,0,0,1,0,0,0,0,-58.702433843447,-34.5451770801287,6021.55961613585,2
3,51.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7003284131838,-34.548813097882,7944.71555035926,2
4,42.0,42.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7177964127187,-34.5503718635802,10032.1587274011,2
5,49.0,49.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.6894704163024,-34.5507671975738,6211.34275778962,2
6,70.0,70.0,1,2,2,0,15,0,0,0,0,0,0,0,0,-58.6916858564639,-34.552539853321,4944.25105458981,2
7,50.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7328991159143,-34.5429450896154,5601.74052284773,1
8,76.0,38.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.6894339686805,-34.5489643620917,9489.87987727133,0
9,67.0,67.0,3,2,4,0,0,0,0,0,0,0,0,0,1,-58.7153215133148,-34.5359800026581,10694.8093947144,2
10,40.0,55.0,1,1,2,0,5,0,0,0,0,0,0,0,1,-58.7112966137765,-34.5522664919826,6697.91361698799,2
11,42.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.7285044485812,-34.5412040641614,5343.17034224516,0
12,37.0,37.0,1,1,2,0,15,0,0,0,0,0,0,0,0,-58.7067545907385,-34.5433134119326,6113.7545112674,2
13,80.0,80.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.6765413901163,-34.5581588289137,3666.7917924735,2
14,40.0,40.0,1,1,2,1,6,0,0,0,0,0,0,0,1,-58.6894339686805,-34.5489643620917,6793.4984255179,2
15,32.0,32.0,1,1,1,0,0,0,1,1,1,1,0,0,1,-58.7066809737027,-34.5397077683388,4880.50965116811,2
16,37.0,37.0,1,1,2,1,0,0,0,0,0,0,0,0,0,-58.7220056214454,-34.543099237084,5079.10370683704,2
17,75.0,75.0,3,1,4,0,0,0,0,0,0,0,0,0,1,-58.7306457741448,-34.5393703984036,8518.41292496862,0
18,40.0,40.0,1,1,2,0,8,0,0,0,0,0,0,0,1,-58.6830425094974,-34.5562660170344,7287.45147486748,2
19,34.0,34.0,1,1,2,0,0,0,1,1,0,0,0,1,0,-58.7067545907385,-34.5433134119326,6568.30002616963,2
20,85.0,85.0,2,1,3,0,0,0,0,1,0,0,0,0,0,-58.6830425094974,-34.5562660170344,11615.587700533,0
21,75.0,75.0,0,2,2,0,0,0,0,0,0,0,0,0,0,-58.7024705662553,-34.5469799045816,12201.2741279203,0
22,69.0,67.0,3,1,4,0,9,0,0,0,0,0,0,1,1,-58.7153215133148,-34.5359800026581,9989.40542245834,2
23,45.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.6830425094974,-34.5562660170344,6161.91457513251,2
24,45.0,44.0,1,1,2,0,2,0,0,0,0,1,0,1,1,-58.7066809737027,-34.5397077683388,7842.43673198683,2
25,60.0,60.0,2,2,3,0,0,0,1,1,0,1,0,1,1,-58.7025072923259,-34.5487827284671,11286.8971263045,2
26,45.0,45.0,1,1,2,0,7,0,0,0,0,0,0,0,1,-58.6830425094974,-34.5562660170344,7842.43673198683,2
27,45.0,45.0,2,1,3,0,5,0,0,0,0,1,0,0,1,-58.7199011060236,-34.5467355667834,7642.19313908425,2
28,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.691612864073,-34.5489341869657,6011.06663527717,2
29,45.0,45.0,1,1,2,0,0,0,0,0,1,0,0,0,0,-58.715358501342,-34.5377828176942,8028.7461548478,2
30,50.0,50.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7155804985187,-34.5485996959834,9437.94566920056,2
31,32.0,28.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.7174630093462,-34.5341465620562,6033.87582185278,2
32,40.0,40.0,1,1,2,0,0,0,0,1,0,0,0,0,0,-58.7151366224565,-34.526965918959,4277.92375788575,0
33,42.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7221170572891,-34.5485076551822,8028.7461548478,2
34,38.0,38.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.6957511824973,-34.5380567317571,5076.46036192546,2
35,52.0,52.0,1,1,2,0,0,0,0,0,1,0,0,0,0,-58.7067177805857,-34.5415105904195,6722.45161953476,2
36,50.0,50.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.7089333192544,-34.5432829320712,8465.17284472839,2
37,42.0,42.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.6957877514799,-34.5398595645721,6722.08862741728,1
38,36.0,36.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.7177964127187,-34.5503718635802,6442.00160127489,2
39,63.0,59.0,2,1,3,0,0,0,0,0,0,0,0,0,1,-58.7112966137765,-34.5522664919826,3005.53331763858,2
40,110.0,110.0,3,1,4,0,0,0,0,0,0,0,0,0,0,-58.7132907664594,-34.543221855802,8962.78483655637,2
41,70.0,65.0,3,1,4,0,35,0,0,0,0,0,0,0,0,-58.7110751404763,-34.5414495959331,8408.59785561632,2
42,65.0,65.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.6897256403311,-34.5633870300707,6305.56802512285,2
43,36.0,36.0,1,1,2,0,0,0,0,1,0,1,0,1,0,-58.7046126254372,-34.5451466759293,8672.70683115727,2
44,42.0,42.0,1,1,2,0,10,0,0,1,0,0,0,0,0,-58.7221170572891,-34.5485076551822,6221.45396744455,2
45,43.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.6924164940504,-34.5885963920851,5780.10402302928,0
46,36.0,34.0,1,1,2,0,1,0,0,0,0,0,0,0,0,-58.7046126254372,-34.5451466759293,6180.31381823726,2
