,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
99,928,25098,92250,2021-03-01,Departamento,63.0,50.0,1,1,2,0.0,No,7.0,0,Sí,0,Sí,No,No,Sí,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5888821930221,-34.4186670690061,2021,233.256475314998,11662.8237657499
203,1913,52228,90902,2022-06-01,Departamento,100.0,75.0,2,2,3,,0,5.0,,1,,0,0,0,0,1,,,0,,,,,1,1,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta El Palmar,U,-58.6586429406143,-34.4249542921363,2022,302.618229829956,22696.3672372467
107,1416,38093,95182,2022-08-01,Departamento,148.0,69.0,1,2,2,,0.0,5.0,,1.0,,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,1.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta North Coral Plaza,U,-58.6516548701885,-34.4016048239235,2022,363.7440316182203,25098.3381816572
3872,6479,176178,91271,2022-02-01,Departamento,49.0,46.0,1,1,2,0.0,No,0.0,0,Sí,0,No,No,Sí,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Tigre,N,-58.5715783528145,-34.424300915074,2022,261.8069398319935,12043.1192322717
6118,5528,150770,91271,2021-08-01,Departamento,48.0,48.0,1,1,2,0.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5715783528145,-34.424300915074,2021,207.38179891481832,9954.32634791128
5044,5918,160765,95512,2022-04-01,Departamento,96.0,70.0,2,2,3,0.0,No,3.0,   0,Sí,   0,No,Sí,No,Sí,Sí,   0,   0,Sí,   0,   0,   0,   0,Sí,Sí,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Tigre,Bs.As. G.B.A. Norte,Nordelta Antares,U,-58.6494443691953,-34.3998312603058,2022,396.9922013528615,27789.4540947003
3860,2636,71843,90285,2022-04-01,Departamento,56.0,51.0,1,1,2,0.0,No,0.0,   0,Sí,   0,Sí,Sí,No,No,No,   0,   0,No,   0,   0,   0,   0,No,No,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Tigre,Bs.As. G.B.A. Norte,Tigre,N,-58.569503679496,-34.4297377987283,2022,219.22386203963333,11180.4169640213
5252,3490,94802,89955,2022-02-01,Departamento,57.0,46.0,1,1,2,0.0,0,1.0,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5717133636311,-34.4315128245486,2022,349.07591977599134,16057.4923096956
2395,1482,39828,96170,2022-08-01,Departamento,49.0,40.0,1,1,2,,0.0,8.0,,1.0,,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,1.0,0.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta Studios de la Bahía,U,-58.6493736036715,-34.3962254259613,2022,298.7897402578225,11951.5896103129
4159,2413,65909,96171,2021-05-01,Departamento,40.0,40.0,1,1,1,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Bahía Grande,N,-58.647198626838,-34.3962547341198,2021,60.33530056256575,2413.41202250263
4044,6411,174416,95512,2022-11-01,Departamento,94.0,82.0,2,2,3,,0.0,9.0,,1.0,,1.0,1.0,0.0,1.0,1.0,,,0.0,,,,,1.0,1.0,1,,,,,,1.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta Quartier,U,-58.6494443691953,-34.3998312603058,2022,316.13593431910243,25923.1466141664
4262,1403,37597,96171,2021-09-01,Departamento,59.0,59.0,0,1,1,0.0,Sí,5.0,0,Sí,0,No,No,No,No,Sí,0,0,No,0,0,0,0,Sí,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Bahía Grande,U,-58.647198626838,-34.3962547341198,2021,285.2709589623068,16830.9865787761
5566,5917,160756,92908,2022-07-01,Departamento,39.0,39.0,1,1,2,,0,50.0,,0,,0,0,0,0,0,,,0,,,,,0,0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,,U,-58.5888139770892,-34.415061137709,2022,225.8756872953261,8809.15180451772
4661,5063,138465,94845,2021-12-01,Departamento,74.0,74.0,1,1,2,0.0,No,13.0,0,Sí,0,Sí,No,No,Sí,Sí,0,0,Sí,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Mirador de la Bahía,U,-58.6690914747812,-34.4031715088704,2021,250.8055663406027,18559.6119092046
5328,2884,78858,91923,2022-10-01,Departamento,85.0,60.0,2,1,3,,0.0,10.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1,,0.0,,,,0.0,0.0,,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5845649636039,-34.4205264966815,2022,309.0156909118633,18540.9414547118
472,2325,63448,91231,2022-04-01,Departamento,101.0,77.0,2,2,3,0.0,No,7.0,   0,Sí,   0,No,No,Sí,No,Sí,   0,   0,No,   0,   0,   0,   0,Sí,No,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Tigre,Bs.As. G.B.A. Norte,Nordelta El Palmar,U,-58.6586073255747,-34.4231513910456,2022,360.902001229874,27789.4540947003
3572,5338,145710,91923,2022-10-01,Departamento,85.0,60.0,2,1,3,,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1,,0.0,,,,0.0,0.0,,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5845649636039,-34.4205264966815,2022,309.0156909118633,18540.9414547118
2201,4428,121404,93874,2021-03-01,Departamento,149.0,113.0,3,3,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta,U,-58.634394150141,-34.4090502779472,2021,429.1982660152752,48499.4040597261
3670,5859,159134,96170,2022-05-01,Departamento,49.0,42.0,0,1,1,,,8.0,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,Tigre,Bs.As. G.B.A. Norte,Nordelta Bahía Grande,U,-58.6493736036715,-34.3962254259613,2022,261.32370161055235,10975.5954676432
3537,1144,30337,96171,2021-12-01,Departamento,40.0,40.0,0,1,1,0.0,0,13.0,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta,U,-58.647198626838,-34.3962547341198,2021,300.22901617831,12009.1606471324
2461,7072,191416,96171,2021-01-01,Departamento,40.0,40.0,1,1,1,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Vista Bahía,N,-58.647198626838,-34.3962547341198,2021,72.367069457987,2894.68277831948
1550,1294,34521,94539,2021-06-01,Departamento,38.0,38.0,0,1,1,0.0,No,0.0,0,Sí,0,No,No,No,Sí,Sí,0,0,No,0,0,0,0,Sí,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Villa Los Romeros,N,-58.6190973181918,-34.4056469419312,2021,241.9900009641442,9195.62003663748
6328,346,9830,96181,2021-11-01,Departamento,166.0,158.0,3,4,4,0.0,No,0.0,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,Sí,No,Sí,Sí,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Tigre,Bs.As. G.B.A. Norte,Nordelta,S,-58.6254486865197,-34.396545690419,2021,315.58250008111645,49862.0350128164
4520,4879,133653,91231,2021-03-01,Departamento,100.0,88.0,1,2,2,0.0,0,5.0,0,Sí,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta,U,-58.6586073255747,-34.4231513910456,2021,281.63068752521025,24783.5005022185
2294,6244,169379,90944,2022-11-01,Departamento,66.0,57.0,1,1,2,,,5.0,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,1,,,,,,1.0,,,Tigre,Bs.As. G.B.A. Norte,,U,-58.5672604308907,-34.4261597485082,2022,310.0854858153877,17674.8726914771
1534,449,12379,90287,2021-08-01,Departamento,75.0,75.0,2,2,3,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Tigre,N,-58.5651518166499,-34.4297935840577,2021,165.90543913185465,12442.9079348891
207,5037,137726,94852,2022-01-01,Departamento,70.0,70.0,2,2,2,0.0,No,0.0,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Portezuelo,N,-58.6538654644108,-34.4033783443864,2022,330.2395338563729,23116.7673699461
3288,6993,188743,96169,2021-04-01,Departamento,60.0,60.0,0,1,1,0.0,Sí,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Bahía Grande,S,-58.6515485773614,-34.396196079162,2021,303.4276116542517,18205.6566992551
2777,4986,136216,94195,2022-06-01,Departamento,57.0,57.0,1,1,2,,1,8.0,,1,,0,0,1,1,1,,,0,,,,,1,1,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta Portezuelo,U,-58.6517611913519,-34.4070135636061,2022,392.148822546793,22352.4828851672
3482,5775,156527,94524,2022-11-01,Departamento,55.0,55.0,1,1,2,,0.0,5.0,,1.0,,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,1.0,1.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta Cormoran,U,-58.6517257478152,-34.405210650943,2022,319.4983574796637,17572.4096613815
2571,6826,184537,94854,2021-02-01,Departamento,92.0,68.0,2,2,3,0.0,No,5.0,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,1,0.0,Sí,0.0,0.0,0.0,0.0,Sí,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Sendero,U,-58.6495151472954,-34.4034370923934,2021,359.48939141897057,24445.27861649
3511,586,16340,96143,2021-08-01,Departamento,128.0,90.0,2,2,3,0.0,0,2.0,0,0,0,0,Sí,Sí,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,,U,-58.7080967763681,-34.395419500059,2021,270.9788839153622,24388.0995523826
5647,6938,187606,96170,2021-10-01,Departamento,60.0,60.0,1,1,2,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Bahía Grande,N,-58.6493736036715,-34.3962254259613,2021,71.751726830836,4305.10360985016
