,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,63.0,50.0,1,1,2,0,7,0,1,0,0,1,0,0,1,-58.5888821930221,-34.4186670690061,11662.8237657499,2
1,100.0,75.0,2,2,3,0,5,0,0,0,0,1,0,0,1,-58.6586429406143,-34.4249542921363,22696.3672372467,2
2,148.0,69.0,1,2,2,0,5,0,1,0,0,0,0,0,1,-58.6516548701885,-34.4016048239235,25098.3381816572,2
3,49.0,46.0,1,1,2,0,0,0,0,0,1,0,0,0,1,-58.5715783528145,-34.424300915074,12043.1192322717,0
4,48.0,48.0,1,1,2,0,2,0,0,0,0,0,0,0,1,-58.5715783528145,-34.424300915074,9954.32634791128,2
5,96.0,70.0,2,2,3,0,3,0,0,1,0,1,1,0,1,-58.6494443691953,-34.3998312603058,27789.4540947003,2
6,56.0,51.0,1,1,2,0,0,0,1,1,0,0,0,0,1,-58.569503679496,-34.4297377987283,11180.4169640213,0
7,57.0,46.0,1,1,2,0,1,0,0,0,0,1,0,0,1,-58.5717133636311,-34.4315128245486,16057.4923096956,2
8,49.0,40.0,1,1,2,0,8,0,0,0,1,1,0,0,1,-58.6493736036715,-34.3962254259613,11951.5896103129,2
9,40.0,40.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.647198626838,-34.3962547341198,2413.41202250263,0
10,94.0,82.0,2,2,3,0,9,0,1,1,0,1,0,0,1,-58.6494443691953,-34.3998312603058,25923.1466141664,2
11,59.0,59.0,0,1,1,1,5,0,0,0,0,1,0,0,1,-58.647198626838,-34.3962547341198,16830.9865787761,2
12,39.0,39.0,1,1,2,0,50,0,0,0,0,0,0,1,1,-58.5888139770892,-34.415061137709,8809.15180451772,2
13,74.0,74.0,1,1,2,0,13,0,1,0,0,1,1,0,1,-58.6690914747812,-34.4031715088704,18559.6119092046,2
14,85.0,60.0,2,1,3,0,10,0,0,0,1,1,0,0,1,-58.5845649636039,-34.4205264966815,18540.9414547118,2
15,101.0,77.0,2,2,3,0,7,0,0,0,1,1,0,0,1,-58.6586073255747,-34.4231513910456,27789.4540947003,2
16,85.0,60.0,2,1,3,0,10,0,0,0,0,0,0,0,1,-58.5845649636039,-34.4205264966815,18540.9414547118,2
17,149.0,113.0,3,3,4,0,0,0,0,0,0,0,0,0,1,-58.634394150141,-34.4090502779472,48499.4040597261,2
18,49.0,42.0,0,1,1,0,8,0,0,0,0,1,0,0,1,-58.6493736036715,-34.3962254259613,10975.5954676432,2
19,40.0,40.0,0,1,1,0,13,0,0,0,0,1,0,0,1,-58.647198626838,-34.3962547341198,12009.1606471324,2
20,40.0,40.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.647198626838,-34.3962547341198,2894.68277831948,0
21,38.0,38.0,0,1,1,0,0,0,0,0,0,1,0,0,1,-58.6190973181918,-34.4056469419312,9195.62003663748,0
22,166.0,158.0,3,4,4,0,0,0,0,0,0,0,1,0,1,-58.6254486865197,-34.396545690419,49862.0350128164,1
23,100.0,88.0,1,2,2,0,5,0,0,0,0,1,0,0,1,-58.6586073255747,-34.4231513910456,24783.5005022185,2
24,66.0,57.0,1,1,2,0,5,0,1,1,0,1,0,0,1,-58.5672604308907,-34.4261597485082,17674.8726914771,2
25,75.0,75.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.5651518166499,-34.4297935840577,12442.9079348891,0
26,70.0,70.0,2,2,2,0,0,0,0,0,0,0,0,0,0,-58.6538654644108,-34.4033783443864,23116.7673699461,0
