,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
2,25.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5429280394903,-34.6410727510568,4759.55788758702,2
3,40.0,40.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.54863478292,-34.5959162485503,5677.05776046259,0
4,63.0,60.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5407465768133,-34.6411003366889,9166.97948118376,2
5,58.0,48.0,2,1,3,0,3,0,0,0,0,0,0,0,0,-58.5399802276477,-34.5996325489056,11354.1155209252,2
6,50.0,50.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5980554099393,-34.5574082946499,3921.21836599341,2
7,40.0,40.0,1,1,2,0,30,0,0,0,0,0,0,0,0,-58.5559157151075,-34.6354976321388,5685.88871277828,2
8,25.0,25.0,0,1,1,0,21,0,0,0,0,0,0,0,0,-58.5515531055163,-34.6355532212518,3571.11457753535,2
9,50.0,50.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.5513516761076,-34.6247356115258,6550.45126207221,2
10,43.0,40.0,2,1,3,0,0,0,0,0,0,0,0,0,0,-58.5321865576689,-34.650225023113,7639.14956765313,2
11,32.0,28.0,0,1,1,0,1,0,0,0,0,0,0,0,1,-58.5355862715354,-34.5978845607906,5544.80450882658,2
12,40.0,40.0,1,1,2,0,17,0,0,1,1,1,0,0,0,-58.5377998459999,-34.5996600531771,5741.08070615182,2
13,32.0,32.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5407799318729,-34.6429032772393,5449.72950618469,2
15,60.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5789877313698,-34.5865103582167,7627.30884710541,1
16,35.0,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5789195139984,-34.5829045088526,4014.3730774239,1
17,14.0,14.0,1,1,1,0,5,0,0,0,0,0,0,0,0,-58.5313248835834,-34.6033482534293,3847.08264657739,2
18,40.0,40.0,1,1,2,0,6,0,0,0,0,0,0,0,0,-58.6114784918254,-34.5752654251935,4708.81479914514,2
19,15.0,15.0,1,1,1,0,0,0,0,0,0,0,0,0,0,-58.532120204369,-34.6466191312352,3020.05280213857,2
20,30.0,25.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5789195139984,-34.5829045088526,3118.10338824629,1
21,74.0,60.0,2,1,3,0,5,0,0,0,0,0,0,0,0,-58.5399802276477,-34.5996325489056,10203.1845072438,2
