,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
0,45.0,43.0,1,1,2,0,6,0,0,0,0,1,0,0,1,-58.4799263182341,-34.5336500181903,10496.5413891749,2
1,30.0,30.0,0,1,1,0,15,0,0,1,0,0,0,0,0,-58.4793205559826,-34.4993924756512,4969.0742062317,2
2,21.0,21.0,0,1,1,0,45,0,0,0,0,0,0,0,0,-58.4773336281844,-34.5102370331463,6221.45396744455,2
3,40.0,40.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.4904022497186,-34.5100782647175,8297.23826529147,2
4,30.0,28.0,1,1,1,0,40,0,0,0,0,0,0,0,0,-58.4840917837974,-34.5227789986923,5831.41188287495,2
5,80.0,77.0,3,2,5,0,40,0,0,1,0,0,0,0,0,-58.5038920554588,-34.5333571934254,12748.3357380834,2
6,89.0,61.0,2,1,3,0,40,0,0,1,0,0,0,0,0,-58.4841557613882,-34.5263850436859,15349.3853722641,2
7,58.0,62.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.4799263182341,-34.5336500181903,12986.5542650103,1
8,75.0,75.0,1,1,2,0,0,0,1,0,0,0,0,0,0,-58.4886411717505,-34.5335440803375,16930.3456894568,0
9,33.0,33.0,1,1,2,0,41,0,0,0,0,1,0,0,0,-58.4752826514521,-34.5174754903951,8538.79003402052,2
10,75.0,75.0,2,2,3,0,0,0,0,0,0,0,0,0,1,-58.5168660213153,-34.5277865086804,30609.5535217315,1
11,69.0,59.0,1,1,2,0,14,0,1,0,1,1,0,0,1,-58.4815941019145,-34.5047751768563,18966.7976047558,2
12,88.0,73.0,2,2,3,0,1,0,1,0,1,1,0,0,1,-58.4816260140133,-34.5065782069958,25207.8323528148,2
13,61.0,61.0,2,1,4,0,35,0,0,1,0,0,0,0,1,-58.5077944382499,-34.5080613922719,16150.8944994861,2
14,55.0,40.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.4773336281844,-34.5102370331463,13630.2960721647,0
15,110.0,100.0,2,3,3,0,6,0,0,0,1,1,0,0,1,-58.4772699829843,-34.5066309674724,36066.399811663,2
16,40.0,40.0,1,1,2,0,40,0,0,1,0,0,0,0,0,-58.4882241532366,-34.5101048231601,9036.55451734259,2
17,120.0,120.0,3,2,4,0,25,0,0,1,1,0,0,0,1,-58.4860140423815,-34.5083283173127,49015.2295749177,2
18,55.0,55.0,2,1,3,0,35,0,0,1,1,0,0,0,0,-58.4925160418938,-34.5064456266285,15304.7767608658,2
19,75.0,68.0,2,2,3,0,2,0,0,1,0,0,0,0,1,-58.4820730812209,-34.5318205702478,20903.0720785166,2
20,60.0,50.0,2,1,3,0,40,0,0,1,1,0,0,0,1,-58.540862884892,-34.5292894539181,9228.28066871601,2
21,40.0,40.0,1,1,2,0,30,0,0,1,0,0,0,0,0,-58.4798944105111,-34.5318469946671,9036.55451734259,2
22,69.0,69.0,2,1,3,0,40,0,0,0,0,0,0,0,1,-58.496936522033,-34.5099983565016,26336.0932947106,2
23,75.0,75.0,2,2,3,0,15,0,0,0,0,0,0,0,1,-58.5036651482081,-34.5207361543155,27374.397456756,2
24,105.0,108.0,2,3,3,0,0,0,0,0,0,1,0,0,1,-58.4838040252767,-34.5065517685421,35123.6992680663,0
25,65.0,60.0,1,1,2,0,20,0,0,1,1,0,0,0,1,-58.490466468834,-34.5136843068762,10451.5360392583,2
26,48.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4860140423815,-34.5083283173127,8659.84414681403,0
27,80.0,80.0,3,1,4,0,50,0,0,1,0,0,0,0,1,-58.4840597992647,-34.5209759753567,14108.6214078807,2
28,45.0,45.0,1,1,2,0,15,0,0,0,0,0,0,0,1,-58.4816579289473,-34.5083812365764,13750.4692217756,2
29,30.0,27.0,0,1,1,0,38,0,0,0,0,0,0,0,0,-58.4926124983603,-34.5118546870367,5562.28243641353,2
30,33.0,30.0,1,1,2,0,1,0,0,0,0,0,0,0,0,-58.5430746933145,-34.5310649153909,5972.30630814761,2
31,37.0,37.0,1,1,2,0,30,0,0,1,1,1,0,0,0,-58.496936522033,-34.5099983565016,8710.03555442237,2
32,36.0,36.0,1,1,2,0,50,0,0,0,0,0,0,0,1,-58.5055191286364,-34.5026792279051,9180.42438443405,2
33,40.0,40.0,1,1,2,0,50,0,0,1,0,0,0,0,0,-58.4925481911928,-34.508248647324,7252.65963822784,2
34,35.0,35.0,1,1,2,0,30,0,0,0,1,0,0,0,0,-58.4948550483825,-34.5154340830847,6174.20202459945,2
35,95.0,95.0,2,1,3,0,30,0,0,0,0,1,0,0,1,-58.4838040252767,-34.5065517685421,16470.3225806594,2
36,48.0,45.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.488031845542,-34.4992866725835,11124.5648728271,2
37,48.0,45.0,1,1,2,0,15,0,0,0,1,0,0,0,0,-58.4882562144868,-34.5119078462989,8162.54760579508,2
38,40.0,40.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.4903380420134,-34.5064722203214,8540.57566525422,2
39,60.0,58.0,2,1,3,0,30,0,0,0,1,0,0,0,0,-58.490466468834,-34.5136843068762,9877.16423988608,2
40,65.0,65.0,2,1,3,0,30,0,0,0,1,1,0,0,0,-58.4795117388665,-34.5102106687799,11163.1893616466,2
41,54.0,50.0,2,1,3,0,40,0,0,1,0,0,0,0,0,-58.4731995890901,-34.522910882368,9621.38546270448,2
42,35.0,35.0,1,1,1,0,51,0,0,0,0,0,0,0,0,-58.4773018041707,-34.5084340005887,10339.0346126767,2
43,85.0,75.0,3,2,4,0,45,0,0,1,0,0,0,0,1,-58.5417608284503,-34.5779695422806,14651.6860371612,2
44,82.0,72.0,2,2,3,0,12,0,0,0,0,1,0,0,1,-58.5208952990597,-34.5097023710475,19521.3629530531,2
45,106.0,94.0,2,2,3,0,1,0,0,1,0,1,0,0,1,-58.4773018041707,-34.5084340005887,30073.8040179736,2
46,54.0,50.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.4882882785856,-34.5137108688785,8927.78644383837,2
47,54.0,54.0,2,1,3,0,35,0,0,0,0,1,0,0,0,-58.4838040252767,-34.5065517685421,12777.1464705863,2
48,51.0,51.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5103304197812,-34.5278675191286,16812.1944508699,0
49,56.0,46.0,1,1,2,0,4,0,0,0,1,1,0,0,1,-58.4753144427067,-34.5192785219225,14578.5297071874,2
50,83.0,78.0,2,2,3,0,35,0,0,1,0,1,0,0,1,-58.4883844879761,-34.5191199332614,13519.2194720981,2
51,67.0,67.0,2,1,3,0,0,0,0,1,0,1,0,0,0,-58.4904343578499,-34.5118812860765,11944.6126162952,0
52,126.0,126.0,3,3,4,0,45,0,0,1,0,1,0,0,0,-58.48835241533,-34.5173169123597,21681.7670778932,2
53,40.0,40.0,0,1,1,0,30,0,0,0,0,0,0,0,0,-58.4731995890901,-34.522910882368,5581.59468082332,2
54,58.0,54.0,1,1,2,0,15,0,0,1,1,0,0,0,1,-58.4816579289473,-34.5083812365764,11825.4124595828,2
55,55.0,45.0,1,1,2,0,1,0,1,1,0,1,0,0,1,-58.4798625056227,-34.5300439705847,15989.7709289314,2
56,70.0,70.0,2,1,3,0,25,0,0,1,0,0,0,0,0,-58.5085747620801,-34.5513334197937,13139.3471773142,2
57,41.0,41.0,1,1,2,0,25,0,0,1,0,0,0,0,0,-58.4946296551563,-34.5028129546265,8122.52375812921,2
58,140.0,140.0,2,2,3,0,0,0,0,1,1,0,0,0,2,-58.488031845542,-34.4992866725835,57511.2759738758,0
